AML-01-001,AML-02-001,AML-03-001,AML-04-001,AML-05-001,AML-06-001,AML-07-001,AML-08-001,AML-09-001,AML-10-001,AML-11-001,AML-12-001,AML-13-001,AML-14-001,AML-15-001,AML-16-001,AML-17-001,AML-18-001,AML-19-001,AML-20-001,AML-21-001,AML-22-001,AML-23-001,AML-24-001,AML-25-001,AML-26-001,AML-27-001,AML-28-001,AML-29-001,AML-30-001,AML-31-001,AML-32-001,AML-33-001,AML-34-001,AML-35-001,AML-36-001,AML-37-001,AML-38-001,AML-39-001,AML-40-001,AML-41-001,AML-42-001,AML-43-001,AML-44-001,AML-45-001,AML-46-001,AML-47-001,AML-48-001,AML-49-001,AML-50-001,AML-51-001,AML-52-001,AML-53-001,AML-54-001,AML-55-001,AML-56-001,AML-57-001,AML-58-001,AML-59-001,AML-60-001,AML-61-001,AML-62-001,AML-63-001,AML-64-001,AML-65-001,AML-66-001,AML-67-001,AML-68-001,AML-69-001,AML-70-001,AML-71-001,AML-72-001,AML-73-001,AML-74-001,AML-75-001,AML-76-001,AML-77-001,AML-78-001,AML-79-001,AML-80-001,AML-81-001,AML-82-001,AML-83-001,AML-84-001,AML-85-001,AML-86-001,AML-87-001,AML-88-001,AML-89-001,AML-90-001,AML-91-001,AML-92-001,AML-93-001,AML-94-001,AML-95-001,AML-96-001,AML-97-001,AML-98-001,AML-99-001,AML-100-001,AML-101-001,AML-102-001,AML-103-001,AML-104-001,AML-105-001,AML-106-001,AML-107-001,AML-108-001,AML-109-001,AML-110-001,AML-111-001,AML-112-001,AML-113-001,AML-114-001,AML-115-001,AML-116-001,AML-117-001,AML-118-001,AML-119-001,AML-120-001,AML-121-001,AML-122-001,AML-123-001
0.0,0.583,0.5,0.787,0.667,0.7,0.571,0.571,0.693,0.711,0.6,0.667,0.7,0.667,0.7,0.571,0.667,0.571,0.6,0.667,0.604,0.571,0.7,0.738,0.667,0.694,0.689,0.752,0.571,0.667,0.739,0.679,0.571,0.571,0.667,0.571,0.667,0.8,0.571,0.75,0.711,0.571,0.611,0.675,0.571,0.7,0.633,0.6,0.633,0.7,0.75,0.675,0.7,0.667,0.583,0.7,0.7,0.571,0.571,0.667,0.679,0.717,0.697,0.571,0.7,0.571,0.6,0.689,0.571,0.571,0.6,0.7,0.6,0.75,0.667,0.679,0.571,0.571,0.6,0.667,0.679,0.679,0.586,0.694,0.571,0.6,0.7,0.731,0.571,0.711,0.6,0.571,0.571,0.583,0.667,0.571,0.674,0.694,0.663,0.819,0.6,0.738,0.571,0.7,0.571,0.7,0.6,0.667,0.667,0.6,0.667,0.667,0.667,0.583,0.667,0.7,0.571,0.667,0.667,0.571,0.679,0.7,0.571
0.583,0.0,0.643,0.697,0.639,0.643,0.679,0.679,0.659,0.556,0.643,0.679,0.556,0.556,0.643,0.679,0.679,0.679,0.679,0.679,0.569,0.583,0.643,0.667,0.639,0.618,0.639,0.622,0.639,0.639,0.545,0.495,0.679,0.679,0.583,0.679,0.679,0.615,0.679,0.622,0.551,0.639,0.643,0.679,0.556,0.643,0.679,0.643,0.583,0.762,0.667,0.583,0.643,0.583,0.688,0.762,0.643,0.679,0.75,0.556,0.545,0.556,0.636,0.639,0.762,0.556,0.545,0.639,0.679,0.556,0.762,0.643,0.822,0.545,0.556,0.676,0.556,0.679,0.643,0.583,0.622,0.667,0.72,0.618,0.583,0.643,0.556,0.777,0.679,0.621,0.618,0.7,0.556,0.545,0.556,0.707,0.749,0.545,0.68,0.628,0.643,0.685,0.639,0.762,0.702,0.762,0.762,0.583,0.583,0.643,0.639,0.639,0.639,0.622,0.639,0.643,0.679,0.583,0.679,0.689,0.622,0.762,0.679
0.5,0.643,0.0,0.835,0.733,0.667,0.6,0.6,0.733,0.733,0.6,0.7,0.733,0.733,0.667,0.6,0.7,0.6,0.7,0.7,0.738,0.6,0.6,0.762,0.733,0.786,0.733,0.853,0.619,0.733,0.844,0.762,0.6,0.6,0.7,0.6,0.7,0.91,0.6,0.85,0.689,0.619,0.667,0.7,0.619,0.667,0.7,0.6,0.556,0.667,0.85,0.625,0.667,0.7,0.643,0.667,0.667,0.6,0.6,0.733,0.762,0.775,0.689,0.619,0.667,0.619,0.667,0.733,0.6,0.619,0.6,0.667,0.6,0.762,0.733,0.762,0.619,0.6,0.6,0.7,0.762,0.762,0.6,0.786,0.6,0.6,0.733,0.787,0.6,0.806,0.667,0.619,0.619,0.643,0.733,0.619,0.705,0.667,0.742,0.94,0.6,0.762,0.619,0.667,0.619,0.667,0.6,0.7,0.7,0.6,0.619,0.733,0.733,0.643,0.733,0.667,0.6,0.7,0.7,0.6,0.762,0.667,0.619
0.787,0.697,0.835,0.0,0.818,0.948,0.742,0.742,0.769,0.783,0.835,0.831,0.643,0.753,0.783,0.699,0.742,0.653,0.787,0.742,0.787,0.742,0.893,0.733,0.679,0.611,0.679,0.67,0.679,0.679,0.782,0.746,0.742,0.826,0.915,0.829,0.742,0.68,0.817,0.764,0.714,0.679,0.893,0.787,0.604,0.835,0.787,0.726,0.831,0.835,0.764,0.742,0.946,0.831,0.667,0.835,0.835,0.742,0.699,0.751,0.732,0.787,0.746,0.751,0.835,0.809,0.611,0.679,0.742,0.751,0.835,0.835,0.931,0.731,0.752,0.764,0.679,0.653,0.726,0.653,0.759,0.733,0.734,0.611,0.653,0.726,0.716,0.79,0.742,0.643,0.668,0.643,0.679,0.671,0.717,0.753,0.769,0.64,0.707,0.683,0.726,0.669,0.679,0.835,0.679,0.835,0.726,0.742,0.742,0.726,0.643,0.604,0.643,0.638,0.679,0.726,0.653,0.742,0.778,0.742,0.572,0.835,0.604
0.667,0.639,0.733,0.818,0.0,0.7,0.571,0.571,0.679,0.643,0.619,0.667,0.556,0.643,0.619,0.571,0.667,0.571,0.667,0.667,0.685,0.667,0.733,0.702,0.643,0.644,0.643,0.639,0.556,0.643,0.702,0.705,0.571,0.667,0.667,0.667,0.667,0.773,0.571,0.706,0.655,0.643,0.733,0.667,0.556,0.619,0.667,0.619,0.667,0.733,0.718,0.667,0.75,0.667,0.556,0.733,0.619,0.571,0.571,0.643,0.639,0.643,0.665,0.643,0.733,0.643,0.644,0.643,0.667,0.643,0.733,0.619,0.733,0.639,0.643,0.722,0.643,0.571,0.619,0.571,0.667,0.639,0.643,0.644,0.571,0.619,0.643,0.695,0.667,0.655,0.564,0.556,0.556,0.556,0.643,0.69,0.697,0.564,0.674,0.741,0.619,0.639,0.643,0.733,0.643,0.733,0.619,0.571,0.571,0.619,0.556,0.556,0.556,0.639,0.556,0.619,0.571,0.571,0.571,0.571,0.556,0.619,0.556
0.7,0.643,0.667,0.948,0.7,0.0,0.6,0.6,0.667,0.733,0.6,0.6,0.619,0.733,0.6,0.6,0.7,0.6,0.7,0.7,0.738,0.7,0.667,0.762,0.733,0.786,0.733,0.762,0.619,0.733,0.844,0.762,0.6,0.7,0.5,0.7,0.7,0.911,0.6,0.833,0.806,0.733,0.667,0.7,0.619,0.6,0.6,0.6,0.5,0.6,0.85,0.7,0.167,0.7,0.643,0.667,0.6,0.6,0.6,0.733,0.762,0.733,0.675,0.733,0.667,0.733,0.786,0.733,0.7,0.733,0.667,0.6,0.6,0.762,0.733,0.85,0.733,0.6,0.6,0.6,0.833,0.643,0.65,0.786,0.6,0.6,0.733,0.738,0.7,0.806,0.667,0.619,0.619,0.643,0.733,0.733,0.73,0.667,0.829,0.938,0.6,0.643,0.733,0.667,0.733,0.667,0.6,0.6,0.6,0.6,0.619,0.619,0.619,0.762,0.619,0.6,0.6,0.6,0.6,0.6,0.643,0.6,0.619
0.571,0.679,0.6,0.742,0.571,0.6,0.0,0.6,0.571,0.667,0.7,0.571,0.667,0.571,0.6,0.667,0.571,0.6,0.667,0.571,0.571,0.571,0.6,0.583,0.667,0.6,0.571,0.679,0.605,0.667,0.583,0.679,0.222,0.571,0.571,0.571,0.571,0.742,0.571,0.679,0.792,0.667,0.6,0.667,0.571,0.6,0.571,0.7,0.571,0.6,0.583,0.667,0.6,0.667,0.73,0.833,0.7,0.633,0.667,0.667,0.679,0.571,0.733,0.667,0.6,0.667,0.694,0.571,0.667,0.667,0.7,0.6,0.6,0.583,0.667,0.583,0.667,0.571,0.6,0.571,0.583,0.583,0.683,0.78,0.571,0.6,0.571,0.628,0.571,0.618,0.781,0.667,0.689,0.679,0.571,0.667,0.614,0.6,0.806,0.727,0.6,0.583,0.571,0.833,0.667,0.7,0.6,0.6,0.6,0.6,0.667,0.571,0.571,0.583,0.667,0.6,0.667,0.667,0.571,0.667,0.583,0.6,0.667
0.571,0.679,0.6,0.742,0.571,0.6,0.6,0.0,0.571,0.667,0.7,0.571,0.667,0.571,0.6,0.65,0.667,0.667,0.571,0.667,0.571,0.571,0.6,0.679,0.571,0.694,0.667,0.75,0.717,0.711,0.583,0.679,0.667,0.571,0.571,0.571,0.667,0.742,0.571,0.679,0.792,0.571,0.6,0.571,0.571,0.6,0.571,0.7,0.571,0.6,0.679,0.667,0.6,0.667,0.75,0.833,0.7,0.222,0.667,0.667,0.679,0.571,0.733,0.4,0.7,0.667,0.694,0.667,0.571,0.667,0.6,0.6,0.6,0.583,0.667,0.679,0.667,0.667,0.6,0.571,0.583,0.679,0.639,0.694,0.571,0.6,0.571,0.691,0.571,0.618,0.694,0.571,0.689,0.679,0.571,0.571,0.72,0.6,0.808,0.817,0.6,0.679,0.667,0.833,0.667,0.7,0.7,0.6,0.6,0.6,0.571,0.667,0.667,0.679,0.4,0.6,0.675,0.667,0.571,0.667,0.679,0.6,0.667
0.693,0.659,0.733,0.769,0.679,0.667,0.571,0.571,0.0,0.655,0.61,0.633,0.68,0.667,0.717,0.571,0.667,0.571,0.667,0.667,0.682,0.619,0.66,0.729,0.607,0.699,0.685,0.688,0.563,0.655,0.696,0.693,0.571,0.619,0.619,0.667,0.667,0.785,0.571,0.698,0.683,0.563,0.717,0.667,0.607,0.717,0.539,0.667,0.692,0.689,0.698,0.678,0.667,0.619,0.569,0.717,0.717,0.571,0.571,0.607,0.659,0.675,0.694,0.563,0.667,0.563,0.582,0.667,0.619,0.607,0.61,0.717,0.717,0.696,0.655,0.692,0.563,0.571,0.61,0.667,0.688,0.721,0.597,0.622,0.571,0.61,0.655,0.725,0.571,0.683,0.582,0.563,0.563,0.569,0.607,0.683,0.679,0.629,0.617,0.733,0.667,0.71,0.563,0.717,0.563,0.717,0.61,0.667,0.667,0.667,0.611,0.655,0.655,0.569,0.655,0.717,0.571,0.667,0.667,0.571,0.692,0.717,0.563
0.711,0.556,0.733,0.783,0.643,0.733,0.667,0.667,0.655,0.0,0.733,0.571,0.643,0.556,0.619,0.571,0.571,0.571,0.711,0.571,0.667,0.571,0.733,0.707,0.643,0.564,0.643,0.639,0.643,0.556,0.702,0.639,0.667,0.571,0.667,0.571,0.571,0.654,0.667,0.639,0.719,0.556,0.7,0.689,0.556,0.619,0.667,0.619,0.667,0.619,0.639,0.667,0.733,0.72,0.639,0.733,0.733,0.667,0.571,0.698,0.556,0.643,0.665,0.643,0.733,0.643,0.564,0.643,0.571,0.643,0.619,0.619,0.619,0.639,0.643,0.639,0.556,0.571,0.619,0.571,0.639,0.556,0.595,0.644,0.571,0.733,0.69,0.672,0.667,0.576,0.644,0.556,0.643,0.639,0.643,0.556,0.655,0.644,0.694,0.667,0.619,0.69,0.556,0.733,0.556,0.733,0.619,0.667,0.667,0.619,0.643,0.556,0.556,0.556,0.643,0.619,0.571,0.667,0.571,0.571,0.556,0.619,0.556
