AML-01-001,AML-02-001,AML-03-001,AML-04-001,AML-05-001,AML-06-001,AML-07-001,AML-08-001,AML-09-001,AML-10-001,AML-11-001,AML-12-001,AML-13-001,AML-14-001,AML-15-001,AML-16-001,AML-17-001,AML-18-001,AML-19-001,AML-20-001,AML-21-001,AML-22-001,AML-23-001,AML-24-001,AML-25-001,AML-26-001,AML-27-001,AML-28-001,AML-29-001,AML-30-001,AML-31-001,AML-32-001,AML-33-001,AML-34-001,AML-35-001,AML-36-001,AML-37-001,AML-38-001,AML-39-001,AML-40-001,AML-41-001,AML-42-001,AML-43-001,AML-44-001,AML-45-001,AML-46-001,AML-47-001,AML-48-001,AML-49-001,AML-50-001,AML-51-001,AML-52-001,AML-53-001,AML-54-001,AML-55-001,AML-56-001,AML-57-001,AML-58-001,AML-59-001,AML-60-001,AML-61-001,AML-62-001,AML-63-001,AML-64-001,AML-65-001,AML-66-001,AML-67-001,AML-68-001,AML-69-001,AML-70-001,AML-71-001,AML-72-001,AML-73-001,AML-74-001,AML-75-001,AML-76-001,AML-77-001,AML-78-001,AML-79-001,AML-80-001,AML-81-001,AML-82-001,AML-83-001,AML-84-001,AML-85-001,AML-86-001,AML-87-001,AML-88-001,AML-89-001,AML-90-001,AML-91-001,AML-92-001,AML-93-001,AML-94-001,AML-95-001,AML-96-001,AML-97-001,AML-98-001,AML-99-001,AML-100-001,AML-101-001,AML-102-001,AML-103-001,AML-104-001,AML-105-001,AML-106-001,AML-107-001,AML-108-001,AML-109-001,AML-110-001,AML-111-001,AML-112-001,AML-113-001,AML-114-001,AML-115-001,AML-116-001,AML-117-001,AML-118-001,AML-119-001,AML-120-001,AML-121-001,AML-122-001,AML-123-001
0.0,0.819,0.458,0.791,0.861,0.8,0.857,0.857,0.749,0.781,0.867,0.828,0.628,0.877,0.696,0.905,0.73,0.857,0.675,0.764,0.617,0.905,0.8,0.643,0.778,0.856,0.647,0.709,0.839,0.784,0.739,0.771,0.857,0.905,0.817,0.905,0.73,0.879,0.857,0.758,0.811,0.839,0.75,0.733,0.875,0.696,0.562,0.9,0.562,0.696,0.774,0.675,0.825,0.867,0.819,0.85,0.696,0.857,0.857,0.778,0.872,0.733,0.739,0.839,0.8,0.839,0.9,0.675,0.905,0.839,0.867,0.696,0.867,0.849,0.835,0.783,0.839,0.905,0.867,0.73,0.893,0.747,0.862,0.826,0.857,0.867,0.794,0.744,0.881,0.765,0.8,0.875,0.839,0.847,0.857,0.893,0.762,0.791,0.807,0.723,0.867,0.668,0.839,0.85,0.839,0.85,0.867,0.764,0.764,0.867,0.758,0.735,0.788,0.819,0.735,0.696,0.857,0.73,0.73,0.857,0.798,0.696,0.839
0.819,0.0,0.804,0.859,0.821,0.804,0.747,0.821,0.798,0.822,0.804,0.78,0.856,0.856,0.804,0.833,0.821,0.765,0.765,0.839,0.826,0.847,0.804,0.808,0.776,0.9,0.847,0.844,0.776,0.847,0.864,0.617,0.747,0.833,0.833,0.814,0.839,0.862,0.821,0.793,0.821,0.762,0.804,0.78,0.844,0.804,0.784,0.821,0.819,0.758,0.822,0.819,0.821,0.819,0.775,0.762,0.804,0.839,0.746,0.822,0.855,0.833,0.805,0.833,0.81,0.822,0.879,0.847,0.794,0.822,0.71,0.804,0.622,0.873,0.878,0.795,0.822,0.848,0.804,0.819,0.868,0.787,0.824,0.806,0.819,0.804,0.856,0.765,0.742,0.826,0.78,0.706,0.822,0.836,0.833,0.801,0.814,0.848,0.84,0.859,0.804,0.838,0.817,0.762,0.829,0.762,0.786,0.819,0.819,0.804,0.789,0.833,0.856,0.844,0.833,0.804,0.821,0.819,0.821,0.678,0.878,0.786,0.763
0.458,0.804,0.0,0.794,0.839,0.75,0.867,0.867,0.8,0.722,0.9,0.85,0.791,0.9,0.667,0.933,0.696,0.867,0.85,0.75,0.704,0.933,0.9,0.77,0.722,0.851,0.508,0.628,0.833,0.767,0.817,0.718,0.867,0.933,0.775,0.933,0.696,0.87,0.867,0.7,0.789,0.833,0.75,0.742,0.881,0.667,0.696,0.95,0.306,0.667,0.722,0.556,0.792,0.85,0.804,0.917,0.667,0.867,0.867,0.722,0.881,0.658,0.699,0.833,0.75,0.833,0.903,0.533,0.933,0.833,0.9,0.667,0.9,0.929,0.833,0.734,0.833,0.933,0.9,0.696,0.881,0.71,0.883,0.795,0.867,0.9,0.883,0.706,0.9,0.734,0.778,0.881,0.833,0.839,0.833,0.905,0.803,0.847,0.782,0.666,0.9,0.71,0.833,0.917,0.833,0.917,0.9,0.75,0.75,0.9,0.833,0.694,0.767,0.804,0.694,0.667,0.867,0.696,0.696,0.867,0.778,0.667,0.833
0.791,0.859,0.794,0.0,0.722,0.725,0.879,0.87,0.77,0.8,0.873,0.744,0.86,0.78,0.817,0.847,0.826,0.859,0.787,0.82,0.769,0.822,0.752,0.757,0.826,0.86,0.835,0.82,0.884,0.835,0.692,0.788,0.886,0.85,0.684,0.755,0.825,0.808,0.833,0.732,0.768,0.839,0.747,0.781,0.874,0.791,0.795,0.857,0.776,0.794,0.718,0.816,0.702,0.836,0.87,0.828,0.873,0.87,0.837,0.819,0.773,0.743,0.83,0.822,0.793,0.764,0.878,0.835,0.822,0.822,0.8,0.791,0.808,0.764,0.86,0.732,0.829,0.872,0.849,0.859,0.754,0.773,0.834,0.855,0.859,0.849,0.811,0.853,0.823,0.874,0.816,0.851,0.87,0.866,0.812,0.782,0.809,0.842,0.765,0.789,0.849,0.812,0.829,0.828,0.829,0.828,0.849,0.87,0.87,0.849,0.839,0.863,0.857,0.832,0.877,0.849,0.859,0.879,0.863,0.894,0.876,0.882,0.863
0.861,0.821,0.839,0.722,0.0,0.625,0.911,0.911,0.77,0.812,0.929,0.821,0.931,0.887,0.929,0.946,0.917,0.911,0.861,0.871,0.808,0.893,0.889,0.714,0.812,0.869,0.847,0.807,0.889,0.868,0.808,0.685,0.911,0.893,0.739,0.75,0.897,0.794,0.911,0.513,0.803,0.887,0.814,0.821,0.917,0.929,0.833,0.952,0.75,0.817,0.567,0.821,0.708,0.861,0.867,0.933,0.929,0.911,0.911,0.812,0.863,0.824,0.877,0.848,0.814,0.848,0.92,0.847,0.893,0.848,0.917,0.929,0.8,0.891,0.938,0.612,0.848,0.946,0.929,0.911,0.698,0.792,0.9,0.847,0.911,0.929,0.89,0.839,0.885,0.842,0.845,0.917,0.889,0.889,0.865,0.746,0.878,0.891,0.802,0.76,0.929,0.84,0.848,0.933,0.848,0.933,0.929,0.911,0.911,0.929,0.889,0.889,0.931,0.824,0.889,0.929,0.911,0.911,0.911,0.911,0.9,0.929,0.889
0.8,0.804,0.75,0.725,0.625,0.0,0.867,0.867,0.822,0.694,0.9,0.9,0.905,0.8,0.9,0.933,0.85,0.867,0.8,0.742,0.621,0.8,0.75,0.752,0.694,0.795,0.767,0.702,0.833,0.761,0.672,0.702,0.867,0.8,0.472,0.8,0.8,0.763,0.867,0.5,0.702,0.8,0.667,0.696,0.881,0.9,0.867,0.95,0.5,0.9,0.572,0.696,0.25,0.8,0.804,0.917,0.9,0.867,0.867,0.694,0.774,0.719,0.808,0.722,0.667,0.722,0.878,0.767,0.8,0.722,0.833,0.9,0.9,0.821,0.9,0.589,0.722,0.933,0.9,0.867,0.728,0.804,0.821,0.78,0.867,0.9,0.856,0.81,0.775,0.762,0.778,0.881,0.833,0.839,0.8,0.8,0.779,0.847,0.704,0.639,0.9,0.804,0.722,0.917,0.722,0.917,0.9,0.867,0.867,0.9,0.833,0.833,0.905,0.703,0.833,0.9,0.867,0.867,0.867,0.867,0.857,0.9,0.833
0.857,0.747,0.867,0.879,0.911,0.867,0.0,0.675,0.875,0.784,0.8,0.881,0.893,0.893,0.867,0.833,0.857,0.675,0.764,0.857,0.857,0.905,0.867,0.847,0.76,0.878,0.839,0.771,0.492,0.778,0.889,0.784,0.333,0.905,0.881,0.905,0.857,0.858,0.857,0.875,0.752,0.735,0.867,0.794,0.875,0.867,0.857,0.825,0.857,0.867,0.861,0.867,0.9,0.764,0.73,0.75,0.8,0.583,0.764,0.75,0.821,0.857,0.837,0.75,0.867,0.81,0.84,0.839,0.819,0.75,0.696,0.867,0.867,0.903,0.857,0.847,0.833,0.905,0.867,0.857,0.931,0.819,0.817,0.726,0.857,0.867,0.893,0.823,0.881,0.8,0.68,0.853,0.672,0.778,0.857,0.877,0.862,0.856,0.697,0.8,0.867,0.819,0.839,0.75,0.806,0.85,0.867,0.675,0.675,0.867,0.784,0.839,0.893,0.819,0.75,0.867,0.794,0.8,0.857,0.73,0.861,0.867,0.735
0.857,0.821,0.867,0.87,0.911,0.867,0.675,0.0,0.875,0.76,0.742,0.881,0.893,0.893,0.867,0.717,0.8,0.867,0.857,0.833,0.857,0.905,0.867,0.857,0.839,0.903,0.833,0.758,0.706,0.781,0.889,0.839,0.783,0.905,0.881,0.905,0.833,0.858,0.857,0.875,0.748,0.839,0.867,0.857,0.875,0.867,0.857,0.825,0.857,0.867,0.875,0.867,0.9,0.73,0.719,0.75,0.742,0.333,0.764,0.722,0.821,0.857,0.837,0.4,0.8,0.784,0.84,0.833,0.905,0.722,0.867,0.867,0.867,0.903,0.835,0.839,0.833,0.856,0.867,0.857,0.931,0.821,0.8,0.796,0.857,0.867,0.893,0.792,0.881,0.8,0.733,0.875,0.647,0.762,0.857,0.893,0.792,0.856,0.782,0.819,0.867,0.784,0.784,0.75,0.81,0.85,0.75,0.633,0.633,0.867,0.839,0.81,0.851,0.821,0.4,0.867,0.733,0.764,0.857,0.8,0.875,0.867,0.833
0.749,0.798,0.8,0.77,0.77,0.822,0.875,0.875,0.0,0.799,0.886,0.725,0.836,0.877,0.85,0.917,0.836,0.875,0.782,0.869,0.825,0.877,0.823,0.671,0.816,0.846,0.79,0.779,0.857,0.863,0.824,0.712,0.875,0.87,0.845,0.852,0.836,0.878,0.875,0.649,0.789,0.857,0.76,0.78,0.857,0.85,0.733,0.844,0.797,0.775,0.657,0.769,0.844,0.845,0.837,0.875,0.85,0.875,0.875,0.816,0.928,0.808,0.815,0.857,0.822,0.857,0.909,0.713,0.87,0.833,0.886,0.85,0.764,0.845,0.894,0.732,0.857,0.917,0.886,0.836,0.772,0.657,0.88,0.84,0.875,0.886,0.828,0.761,0.896,0.809,0.818,0.889,0.857,0.863,0.851,0.75,0.837,0.831,0.833,0.767,0.822,0.766,0.857,0.875,0.857,0.875,0.886,0.869,0.869,0.822,0.805,0.814,0.853,0.837,0.814,0.85,0.875,0.836,0.836,0.875,0.838,0.85,0.857
0.781,0.822,0.722,0.8,0.812,0.694,0.784,0.76,0.799,0.0,0.761,0.857,0.869,0.875,0.833,0.875,0.839,0.839,0.736,0.839,0.804,0.875,0.833,0.744,0.747,0.873,0.782,0.759,0.802,0.833,0.755,0.759,0.806,0.875,0.753,0.875,0.839,0.854,0.81,0.773,0.805,0.833,0.579,0.647,0.861,0.833,0.857,0.857,0.758,0.833,0.784,0.735,0.716,0.676,0.817,0.8,0.761,0.76,0.839,0.598,0.867,0.762,0.782,0.784,0.694,0.802,0.891,0.782,0.875,0.784,0.833,0.833,0.833,0.854,0.841,0.77,0.833,0.875,0.833,0.839,0.852,0.822,0.836,0.808,0.839,0.767,0.776,0.792,0.857,0.811,0.764,0.861,0.765,0.787,0.8,0.875,0.803,0.815,0.76,0.784,0.833,0.755,0.833,0.8,0.833,0.8,0.833,0.76,0.76,0.833,0.798,0.833,0.875,0.822,0.784,0.833,0.839,0.784,0.839,0.839,0.856,0.833,0.833
