,t=0.01,WSS (0.01),t=0.02,WSS (0.02),t=0.03,WSS (0.03),t=0.04,WSS (0.04),t= 0.05,WSS (0.05),,,,,,,,,
DISC $\cup$,3,0.048,3,0.048,3,0.048,3,0.048,3,0.048,,,,,,,,,
DISC $\cap$,16,0.684,14,0.677,11,0.564,7,0.458,5,0.392,,,,,,,,,
CASet $\cap$,7,0.096,4,0.134,3,0.17,3,0.17,3,0.17,,,,,,,,,
CASet $\cup$,3,0.031,3,0.031,3,0.031,3,0.031,3,0.031,,,,,,,,,
BD,4,0.117,3,0.105,3,0.105,3,0.105,3,0.105,,,,,,,,,
1BD,3,0.091,3,0.091,3,0.091,3,0.091,3,0.091,,,,,,,,,
2BD,3,0.071,3,0.071,3,0.071,3,0.071,3,0.071,,,,,,,,,
AD,3,0.048,3,0.048,3,0.048,3,0.048,3,0.048,,,,,,,,,
CD,8,0.126,3,0.064,3,0.064,3,0.064,3,0.064,,,,,,,,,
PD,9,0.39,8,0.399,6,0.329,5,0.294,4,0.257,,,,,,,,,
PCD,7,0.119,3,0.064,3,0.064,3,0.064,3,0.064,,,,,,,,,
MLTD,3,0.083,3,0.083,3,0.083,3,0.083,3,0.083,,,,,,,,,
MP3 $\cup$,6,0.057,3,0.021,3,0.021,3,0.021,3,0.021,,,,,,,,,
MP3$\sigma$,3,0.028,3,0.028,3,0.028,3,0.028,3,0.028,,,,,,,,,
MP3 $\cap$,11,0.245,3,0.125,3,0.125,3,0.125,3,0.125,,,,,,,,,
MP3 $geo$,3,0.03,3,0.03,3,0.03,3,0.03,3,0.03,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
