AML-01-001,AML-02-001,AML-03-001,AML-04-001,AML-05-001,AML-06-001,AML-07-001,AML-08-001,AML-09-001,AML-10-001,AML-11-001,AML-12-001,AML-13-001,AML-14-001,AML-15-001,AML-16-001,AML-17-001,AML-18-001,AML-19-001,AML-20-001,AML-21-001,AML-22-001,AML-23-001,AML-24-001,AML-25-001,AML-26-001,AML-27-001,AML-28-001,AML-29-001,AML-30-001,AML-31-001,AML-32-001,AML-33-001,AML-34-001,AML-35-001,AML-36-001,AML-37-001,AML-38-001,AML-39-001,AML-40-001,AML-41-001,AML-42-001,AML-43-001,AML-44-001,AML-45-001,AML-46-001,AML-47-001,AML-48-001,AML-49-001,AML-50-001,AML-51-001,AML-52-001,AML-53-001,AML-54-001,AML-55-001,AML-56-001,AML-57-001,AML-58-001,AML-59-001,AML-60-001,AML-61-001,AML-62-001,AML-63-001,AML-64-001,AML-65-001,AML-66-001,AML-67-001,AML-68-001,AML-69-001,AML-70-001,AML-71-001,AML-72-001,AML-73-001,AML-74-001,AML-75-001,AML-76-001,AML-77-001,AML-78-001,AML-79-001,AML-80-001,AML-81-001,AML-82-001,AML-83-001,AML-84-001,AML-85-001,AML-86-001,AML-87-001,AML-88-001,AML-89-001,AML-90-001,AML-91-001,AML-92-001,AML-93-001,AML-94-001,AML-95-001,AML-96-001,AML-97-001,AML-98-001,AML-99-001,AML-100-001,AML-101-001,AML-102-001,AML-103-001,AML-104-001,AML-105-001,AML-106-001,AML-107-001,AML-108-001,AML-109-001,AML-110-001,AML-111-001,AML-112-001,AML-113-001,AML-114-001,AML-115-001,AML-116-001,AML-117-001,AML-118-001,AML-119-001,AML-120-001,AML-121-001,AML-122-001,AML-123-001
0.0,1.0,0.75,0.948,0.917,0.889,1.0,1.0,0.739,0.854,1.0,0.917,0.367,0.933,0.667,1.0,0.667,1.0,0.806,0.722,0.694,1.0,0.917,0.817,0.917,0.811,0.688,0.75,1.0,0.792,0.889,0.938,1.0,1.0,0.917,1.0,0.667,0.928,1.0,0.729,0.85,1.0,0.833,0.833,1.0,0.667,0.667,1.0,0.667,0.667,0.7,0.611,0.917,0.917,1.0,1.0,0.667,1.0,1.0,0.917,0.917,0.667,0.759,1.0,0.889,1.0,1.0,0.792,1.0,1.0,1.0,0.667,1.0,0.897,0.933,0.95,1.0,1.0,1.0,0.667,0.889,0.833,1.0,0.95,1.0,1.0,0.933,0.856,1.0,0.875,1.0,1.0,1.0,1.0,0.917,1.0,0.792,0.875,0.98,0.833,1.0,0.783,1.0,1.0,1.0,1.0,1.0,0.722,0.722,1.0,0.792,0.75,0.917,1.0,0.75,0.667,1.0,0.667,0.667,1.0,0.817,0.667,1.0
1.0,0.0,1.0,0.919,0.967,1.0,0.833,0.95,0.872,1.0,1.0,0.87,1.0,1.0,1.0,0.933,0.95,0.85,0.85,0.95,1.0,1.0,1.0,0.83,0.85,0.96,0.95,0.95,0.85,0.95,1.0,0.66,0.833,0.96,1.0,0.96,0.95,0.944,0.95,0.88,1.0,0.833,1.0,0.95,1.0,1.0,0.85,1.0,1.0,0.95,0.843,1.0,1.0,1.0,0.783,1.0,1.0,0.95,0.783,1.0,1.0,1.0,1.0,0.95,0.95,1.0,1.0,0.95,0.96,1.0,0.833,1.0,0.833,1.0,1.0,0.803,1.0,0.96,1.0,1.0,0.971,0.783,0.95,0.85,1.0,1.0,1.0,0.884,0.853,0.875,0.875,0.87,1.0,1.0,1.0,0.927,0.948,1.0,0.822,0.964,1.0,0.9,0.95,1.0,0.9,1.0,0.933,1.0,1.0,1.0,0.85,0.95,0.95,0.95,0.95,1.0,0.95,1.0,0.95,0.733,0.96,0.95,0.783
0.75,1.0,0.0,0.976,0.875,0.833,1.0,1.0,0.903,0.917,1.0,0.875,0.667,0.9,0.5,1.0,0.667,1.0,0.917,0.722,0.772,1.0,1.0,0.95,0.917,0.811,0.812,0.867,1.0,0.792,0.944,0.938,1.0,1.0,0.875,1.0,0.667,0.928,1.0,0.812,1.0,1.0,0.833,0.889,1.0,0.5,0.667,1.0,0.5,0.5,0.833,0.806,0.875,0.917,1.0,1.0,0.5,1.0,1.0,0.917,0.917,0.822,0.782,1.0,0.833,1.0,1.0,0.792,1.0,1.0,1.0,0.5,1.0,0.917,0.9,0.95,1.0,1.0,1.0,0.667,0.889,0.833,1.0,0.95,1.0,1.0,0.933,0.887,1.0,0.875,1.0,1.0,1.0,1.0,0.917,1.0,0.84,1.0,0.98,0.917,1.0,0.833,1.0,1.0,1.0,1.0,1.0,0.722,0.722,1.0,1.0,0.75,0.917,1.0,0.75,0.5,1.0,0.667,0.667,1.0,0.817,0.5,1.0
0.948,0.919,0.976,0.0,0.945,0.931,0.899,0.894,0.876,0.826,0.961,0.907,0.954,0.925,0.972,0.979,0.976,1.0,0.913,0.931,0.888,0.979,0.926,0.872,0.931,0.951,0.933,0.912,0.899,0.933,0.844,0.862,0.961,0.969,0.907,0.958,0.933,0.896,0.847,0.905,0.799,0.933,0.926,0.903,1.0,0.948,0.944,1.0,0.933,0.976,0.877,0.931,0.952,0.876,0.913,1.0,0.961,0.894,0.972,0.854,0.9,0.879,0.948,0.854,0.931,0.824,0.948,0.933,0.979,0.854,0.976,0.948,0.933,0.928,0.974,0.905,0.931,1.0,1.0,1.0,0.944,0.836,0.954,0.94,1.0,1.0,0.97,0.926,0.94,0.919,0.821,0.94,0.894,0.868,0.908,0.912,0.94,0.916,0.852,0.879,1.0,0.941,0.931,1.0,0.931,1.0,1.0,0.894,0.894,1.0,0.938,1.0,0.938,0.931,0.899,1.0,1.0,0.899,0.934,0.961,1.0,0.961,1.0
0.917,0.967,0.875,0.945,0.0,0.667,1.0,1.0,0.859,0.833,1.0,0.917,1.0,0.929,1.0,1.0,0.944,1.0,0.917,0.933,0.877,0.929,0.9,0.879,0.833,0.952,0.854,0.866,1.0,0.958,0.861,0.866,1.0,0.929,0.732,0.857,0.944,0.937,1.0,0.81,0.971,0.958,0.667,0.778,1.0,1.0,0.944,1.0,0.806,0.917,0.849,0.778,0.875,0.917,1.0,1.0,1.0,1.0,1.0,0.833,0.952,0.821,0.866,0.95,0.667,0.95,0.958,0.854,0.929,0.95,0.917,1.0,0.9,0.938,0.938,0.879,0.95,1.0,1.0,1.0,0.852,0.96,0.967,0.893,1.0,1.0,0.933,0.929,0.917,0.972,1.0,1.0,1.0,1.0,0.822,0.857,0.93,1.0,0.947,0.905,1.0,0.967,0.95,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.889,1.0,0.833,0.931,0.667,0.0,1.0,1.0,0.854,0.75,1.0,1.0,1.0,0.9,1.0,1.0,0.917,1.0,0.889,0.889,0.822,0.9,0.833,0.838,0.75,0.933,0.792,0.817,1.0,0.938,0.822,0.817,1.0,0.9,0.633,0.9,0.917,0.921,1.0,0.65,0.96,0.938,0.5,0.667,1.0,1.0,1.0,1.0,0.556,1.0,0.806,0.667,0.75,0.889,1.0,1.0,1.0,1.0,1.0,0.75,0.933,0.756,0.807,0.917,0.5,0.917,0.944,0.792,0.9,0.917,0.875,1.0,1.0,0.917,0.917,0.838,0.917,1.0,1.0,1.0,0.786,1.0,0.944,0.853,1.0,1.0,0.917,0.898,0.875,0.958,1.0,1.0,1.0,1.0,0.75,0.9,0.891,1.0,0.932,0.857,1.0,1.0,0.917,1.0,0.917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.833,1.0,0.899,1.0,1.0,0.0,0.806,1.0,0.812,0.917,1.0,0.933,1.0,1.0,0.933,1.0,0.806,0.722,1.0,1.0,1.0,1.0,1.0,0.792,1.0,1.0,0.938,0.667,0.917,1.0,0.812,0.5,1.0,1.0,1.0,1.0,0.963,1.0,0.938,0.867,0.75,1.0,0.889,1.0,1.0,1.0,0.917,1.0,1.0,1.0,0.917,1.0,0.722,0.833,0.889,0.917,0.722,0.722,0.875,0.917,1.0,0.903,0.875,1.0,0.812,0.944,1.0,0.917,0.875,0.667,1.0,1.0,1.0,0.944,1.0,0.938,1.0,1.0,1.0,1.0,1.0,0.903,0.767,1.0,1.0,1.0,1.0,1.0,1.0,0.833,0.917,0.854,0.817,1.0,0.933,1.0,1.0,0.836,0.964,1.0,1.0,1.0,0.889,0.917,1.0,1.0,0.806,0.806,1.0,0.792,1.0,1.0,1.0,0.875,1.0,0.889,0.75,1.0,0.667,1.0,1.0,0.75
1.0,0.95,1.0,0.894,1.0,1.0,0.806,0.0,1.0,0.792,0.889,1.0,0.933,1.0,1.0,0.822,0.75,0.917,1.0,0.917,1.0,1.0,1.0,0.938,1.0,0.933,0.938,0.812,0.708,0.854,1.0,0.938,0.806,1.0,1.0,1.0,0.917,0.963,1.0,0.938,0.85,1.0,1.0,1.0,1.0,1.0,1.0,0.917,1.0,1.0,0.917,0.917,1.0,0.667,0.767,0.889,0.889,0.5,0.722,0.729,0.917,1.0,0.903,0.417,0.917,0.792,0.944,0.938,1.0,0.729,1.0,1.0,1.0,1.0,0.933,0.825,0.938,0.933,1.0,1.0,1.0,0.95,0.833,0.933,1.0,1.0,1.0,0.908,1.0,1.0,0.861,1.0,0.688,0.775,1.0,1.0,0.919,1.0,0.755,0.9,1.0,0.85,0.812,0.889,0.812,1.0,0.722,0.583,0.583,1.0,1.0,0.812,0.783,0.95,0.417,1.0,0.833,0.722,1.0,0.75,0.95,1.0,0.938
0.739,0.872,0.903,0.876,0.859,0.854,1.0,1.0,0.0,0.885,1.0,0.77,0.789,0.868,0.894,1.0,0.911,1.0,0.8,0.931,0.853,0.958,0.944,0.767,0.927,0.902,0.892,0.908,1.0,0.948,0.873,0.815,1.0,0.866,0.879,0.925,0.911,0.924,1.0,0.848,0.875,1.0,0.799,0.764,0.925,0.894,0.856,0.95,0.883,0.875,0.793,0.861,0.95,0.967,1.0,1.0,0.894,1.0,1.0,0.927,0.943,0.877,0.892,1.0,0.854,1.0,1.0,0.896,0.866,0.933,1.0,0.894,0.715,0.852,0.941,0.831,1.0,1.0,1.0,0.911,0.897,0.858,1.0,0.951,1.0,1.0,0.931,0.918,1.0,0.965,1.0,1.0,1.0,1.0,0.917,0.734,0.91,0.933,0.946,0.94,0.854,0.855,1.0,1.0,1.0,1.0,1.0,0.931,0.931,0.854,0.875,0.933,0.943,1.0,0.933,0.894,1.0,0.911,0.911,1.0,0.93,0.894,1.0
0.854,1.0,0.917,0.826,0.833,0.75,0.812,0.792,0.885,0.0,0.938,1.0,0.938,1.0,1.0,1.0,1.0,1.0,0.833,1.0,0.846,1.0,0.938,0.754,0.75,1.0,0.792,0.817,0.812,1.0,0.867,0.817,0.938,1.0,0.817,1.0,1.0,0.935,0.812,0.775,0.817,1.0,0.75,0.688,1.0,1.0,0.938,1.0,0.792,1.0,0.854,0.75,0.917,0.708,0.95,1.0,0.938,0.792,1.0,0.5,1.0,0.817,0.856,0.812,0.75,0.812,1.0,0.792,1.0,0.812,1.0,1.0,1.0,0.958,0.958,0.838,1.0,1.0,1.0,1.0,0.804,1.0,1.0,0.853,1.0,0.792,0.938,0.898,0.95,1.0,0.875,1.0,0.792,0.817,0.812,1.0,0.85,0.958,0.833,0.857,1.0,0.833,1.0,1.0,1.0,1.0,1.0,0.792,0.792,1.0,0.917,1.0,1.0,1.0,0.812,1.0,1.0,0.812,1.0,1.0,1.0,1.0,1.0
