AML-01-001,AML-02-001,AML-03-001,AML-04-001,AML-05-001,AML-06-001,AML-07-001,AML-08-001,AML-09-001,AML-10-001,AML-11-001,AML-12-001,AML-13-001,AML-14-001,AML-15-001,AML-16-001,AML-17-001,AML-18-001,AML-19-001,AML-20-001,AML-21-001,AML-22-001,AML-23-001,AML-24-001,AML-25-001,AML-26-001,AML-27-001,AML-28-001,AML-29-001,AML-30-001,AML-31-001,AML-32-001,AML-33-001,AML-34-001,AML-35-001,AML-36-001,AML-37-001,AML-38-001,AML-39-001,AML-40-001,AML-41-001,AML-42-001,AML-43-001,AML-44-001,AML-45-001,AML-46-001,AML-47-001,AML-48-001,AML-49-001,AML-50-001,AML-51-001,AML-52-001,AML-53-001,AML-54-001,AML-55-001,AML-56-001,AML-57-001,AML-58-001,AML-59-001,AML-60-001,AML-61-001,AML-62-001,AML-63-001,AML-64-001,AML-65-001,AML-66-001,AML-67-001,AML-68-001,AML-69-001,AML-70-001,AML-71-001,AML-72-001,AML-73-001,AML-74-001,AML-75-001,AML-76-001,AML-77-001,AML-78-001,AML-79-001,AML-80-001,AML-81-001,AML-82-001,AML-83-001,AML-84-001,AML-85-001,AML-86-001,AML-87-001,AML-88-001,AML-89-001,AML-90-001,AML-91-001,AML-92-001,AML-93-001,AML-94-001,AML-95-001,AML-96-001,AML-97-001,AML-98-001,AML-99-001,AML-100-001,AML-101-001,AML-102-001,AML-103-001,AML-104-001,AML-105-001,AML-106-001,AML-107-001,AML-108-001,AML-109-001,AML-110-001,AML-111-001,AML-112-001,AML-113-001,AML-114-001,AML-115-001,AML-116-001,AML-117-001,AML-118-001,AML-119-001,AML-120-001,AML-121-001,AML-122-001,AML-123-001
0.0,1.0,0.5,0.951,0.909,0.875,1.0,1.0,0.809,0.857,1.0,0.9,0.7,0.917,0.875,1.0,0.909,1.0,0.667,0.909,0.652,1.0,0.875,0.812,0.933,0.947,0.769,0.889,1.0,0.933,0.769,0.947,1.0,1.0,0.9,1.0,0.909,0.941,1.0,0.882,0.967,1.0,0.714,0.8,1.0,0.875,0.667,1.0,0.667,0.875,0.875,0.8,0.857,0.909,1.0,1.0,0.875,1.0,1.0,0.933,0.938,0.846,0.88,1.0,0.875,1.0,1.0,0.769,1.0,1.0,1.0,0.875,1.0,0.846,0.9,0.944,1.0,1.0,1.0,0.909,0.917,0.95,1.0,0.955,1.0,1.0,0.818,0.903,1.0,0.968,1.0,1.0,1.0,1.0,0.929,1.0,0.898,0.952,0.981,0.938,1.0,0.833,1.0,1.0,1.0,1.0,1.0,0.909,0.909,1.0,0.933,0.933,0.917,1.0,0.933,0.875,1.0,0.909,0.909,1.0,0.941,0.875,1.0
1.0,0.0,1.0,0.924,0.95,1.0,0.95,0.95,0.951,1.0,1.0,0.947,1.0,1.0,1.0,0.944,0.95,0.95,0.95,0.95,1.0,1.0,1.0,0.88,0.958,0.964,0.958,0.964,0.958,0.958,1.0,0.55,0.95,0.944,1.0,0.944,0.95,0.984,0.95,0.963,1.0,0.958,1.0,0.95,1.0,1.0,0.95,1.0,1.0,0.941,0.875,1.0,1.0,1.0,0.929,1.0,1.0,0.95,0.895,1.0,1.0,1.0,1.0,0.958,0.941,1.0,1.0,0.958,0.944,1.0,0.941,1.0,0.8,1.0,1.0,0.88,1.0,0.944,1.0,1.0,0.952,0.889,0.946,0.968,1.0,1.0,1.0,0.9,0.947,0.975,0.971,0.85,1.0,1.0,1.0,0.9,0.946,1.0,0.911,0.976,1.0,0.929,0.958,1.0,0.913,1.0,0.941,1.0,1.0,1.0,0.958,0.958,0.952,0.966,0.958,1.0,0.95,1.0,0.95,0.688,0.962,0.941,0.864
0.5,1.0,0.0,0.966,0.875,0.8,1.0,1.0,0.812,0.917,1.0,0.857,0.889,0.889,0.8,1.0,0.875,1.0,0.875,0.875,0.838,1.0,1.0,0.933,0.917,0.938,0.7,0.867,1.0,0.917,0.818,0.938,1.0,1.0,0.857,1.0,0.875,0.934,1.0,0.857,1.0,1.0,0.8,0.875,1.0,0.8,0.875,1.0,0.5,0.8,0.846,0.714,0.75,0.875,1.0,1.0,0.8,1.0,1.0,0.917,0.923,0.8,0.838,1.0,0.8,1.0,1.0,0.7,1.0,1.0,1.0,0.8,1.0,0.909,0.857,0.933,1.0,1.0,1.0,0.875,0.889,0.941,1.0,0.947,1.0,1.0,0.889,0.886,1.0,0.964,1.0,1.0,1.0,1.0,0.909,1.0,0.903,1.0,0.979,0.931,1.0,0.941,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,1.0,0.917,0.889,1.0,0.917,0.8,1.0,0.875,0.875,1.0,0.929,0.8,1.0
0.951,0.924,0.966,0.0,0.902,0.93,0.969,0.969,0.935,0.895,0.966,0.934,0.983,0.938,0.981,0.981,0.969,1.0,0.951,0.969,0.938,0.967,0.945,0.933,0.973,0.975,0.973,0.961,0.973,0.973,0.895,0.863,0.969,0.932,0.898,0.932,0.969,0.934,0.902,0.92,0.882,0.973,0.945,0.951,1.0,0.966,0.951,1.0,0.937,0.966,0.918,0.969,0.927,0.937,0.947,1.0,0.966,0.969,0.983,0.913,0.929,0.924,0.976,0.913,0.966,0.846,0.974,0.973,0.967,0.913,0.966,0.966,0.891,0.924,0.934,0.92,0.973,1.0,1.0,1.0,0.905,0.936,0.979,0.977,1.0,1.0,0.952,0.924,0.968,0.941,0.934,0.984,0.973,0.96,0.955,0.938,0.961,0.963,0.899,0.943,1.0,0.947,0.973,1.0,0.973,1.0,1.0,0.969,0.969,1.0,0.985,1.0,0.983,0.976,0.973,1.0,1.0,0.969,0.931,0.969,1.0,0.966,1.0
0.909,0.95,0.875,0.902,0.0,0.5,1.0,1.0,0.864,0.933,1.0,0.9,1.0,0.917,1.0,1.0,0.909,1.0,0.909,0.909,0.878,0.889,0.875,0.882,0.933,0.947,0.933,0.947,1.0,0.933,0.857,0.889,1.0,0.889,0.625,0.75,0.909,0.918,1.0,0.733,0.967,0.933,0.875,0.909,1.0,1.0,0.909,1.0,0.667,0.875,0.8,0.909,0.667,0.909,1.0,1.0,1.0,1.0,1.0,0.933,0.938,0.929,0.946,0.933,0.875,0.933,0.941,0.933,0.889,0.933,0.875,1.0,0.875,0.929,0.9,0.812,0.933,1.0,1.0,1.0,0.7,0.95,0.955,0.955,1.0,1.0,0.917,0.957,0.9,0.968,1.0,1.0,1.0,1.0,0.929,0.818,0.892,1.0,0.959,0.938,1.0,0.95,0.933,1.0,0.933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.875,1.0,0.8,0.93,0.5,0.0,1.0,1.0,0.944,0.917,1.0,1.0,1.0,0.889,1.0,1.0,0.875,1.0,0.875,0.875,0.838,0.833,0.8,0.933,0.917,0.938,0.917,0.938,1.0,0.917,0.818,0.938,1.0,0.833,0.4,0.833,0.875,0.934,1.0,0.769,0.963,0.917,0.8,0.875,1.0,1.0,1.0,1.0,0.5,1.0,0.846,0.875,0.333,0.875,1.0,1.0,1.0,1.0,1.0,0.917,0.923,0.909,0.928,0.917,0.8,0.917,0.929,0.917,0.833,0.917,0.8,1.0,1.0,0.909,0.857,0.857,0.917,1.0,1.0,1.0,0.75,1.0,0.938,0.947,1.0,1.0,0.889,0.966,0.857,0.964,1.0,1.0,1.0,1.0,0.909,0.889,0.851,1.0,0.954,0.931,1.0,1.0,0.917,1.0,0.917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.95,1.0,0.969,1.0,1.0,0.0,0.667,1.0,0.933,0.875,1.0,0.917,1.0,1.0,0.889,1.0,0.667,0.909,1.0,1.0,1.0,1.0,1.0,0.933,1.0,1.0,0.947,0.667,0.933,1.0,0.947,0.286,1.0,1.0,1.0,1.0,0.966,1.0,0.944,0.893,0.933,1.0,0.909,1.0,1.0,1.0,0.857,1.0,1.0,1.0,0.909,1.0,0.909,0.833,0.833,0.875,0.667,0.909,0.769,0.938,1.0,0.886,0.769,1.0,0.933,0.941,1.0,0.889,0.769,0.875,1.0,1.0,1.0,0.9,1.0,0.933,1.0,1.0,1.0,1.0,1.0,0.892,0.905,1.0,1.0,1.0,1.0,1.0,1.0,0.92,0.923,0.769,0.944,1.0,0.917,1.0,1.0,0.771,0.97,1.0,1.0,1.0,0.833,0.933,1.0,1.0,0.667,0.667,1.0,0.933,1.0,1.0,1.0,0.769,1.0,0.909,0.909,1.0,0.909,1.0,1.0,0.933
1.0,0.95,1.0,0.969,1.0,1.0,0.667,0.0,1.0,0.933,0.875,1.0,0.917,1.0,1.0,0.75,0.909,0.909,1.0,0.909,1.0,1.0,1.0,0.944,1.0,0.947,0.933,0.889,0.857,0.857,1.0,0.947,0.8,1.0,1.0,1.0,0.909,0.966,1.0,0.944,0.893,1.0,1.0,1.0,1.0,1.0,1.0,0.857,1.0,1.0,0.941,0.909,1.0,0.909,0.895,0.833,0.875,0.286,0.909,0.769,0.938,1.0,0.886,0.4,0.875,0.933,0.941,0.933,1.0,0.769,1.0,1.0,1.0,1.0,0.9,0.944,0.933,0.889,1.0,1.0,1.0,0.95,0.757,0.955,1.0,1.0,1.0,0.971,1.0,1.0,0.962,1.0,0.769,0.944,1.0,1.0,0.889,1.0,0.771,0.938,1.0,0.95,0.933,0.833,0.933,1.0,0.875,0.667,0.667,1.0,1.0,0.933,0.917,0.95,0.4,1.0,0.8,0.909,1.0,0.909,0.941,1.0,0.933
0.809,0.951,0.812,0.935,0.864,0.944,1.0,1.0,0.0,0.935,1.0,0.646,0.871,0.822,0.882,1.0,0.913,1.0,0.913,0.913,0.833,0.95,0.938,0.886,0.969,0.89,0.9,0.89,1.0,0.935,0.777,0.921,1.0,0.95,0.955,0.894,0.913,0.895,1.0,0.74,0.967,1.0,0.882,0.913,0.964,0.882,0.742,0.938,0.864,0.732,0.721,0.805,0.938,0.958,1.0,1.0,0.882,1.0,1.0,0.969,0.939,0.849,0.867,1.0,0.944,1.0,1.0,0.813,0.95,0.969,1.0,0.882,0.882,0.76,0.905,0.917,1.0,1.0,1.0,0.913,0.822,0.838,1.0,0.978,1.0,1.0,0.92,0.912,1.0,0.968,1.0,1.0,1.0,1.0,0.967,0.875,0.898,0.976,0.981,0.938,0.944,0.832,1.0,1.0,1.0,1.0,1.0,0.913,0.913,0.944,0.967,0.935,0.92,1.0,0.935,0.882,1.0,0.913,0.913,1.0,0.912,0.882,1.0
0.857,1.0,0.917,0.895,0.933,0.917,0.933,0.933,0.935,0.0,0.917,1.0,0.938,1.0,1.0,1.0,1.0,1.0,0.857,1.0,0.873,1.0,0.917,0.905,0.947,1.0,0.947,0.957,0.947,1.0,0.889,0.957,0.933,1.0,0.929,1.0,1.0,0.98,0.933,0.955,0.906,1.0,0.7,0.769,1.0,1.0,0.933,1.0,0.933,1.0,0.952,0.933,0.909,0.857,0.958,1.0,0.917,0.933,1.0,0.824,1.0,0.944,0.959,0.947,0.917,0.947,1.0,0.947,1.0,0.947,1.0,1.0,1.0,0.944,0.929,0.955,1.0,1.0,1.0,1.0,0.938,1.0,1.0,0.962,1.0,0.917,0.867,0.975,0.929,1.0,0.967,1.0,0.947,0.955,0.944,1.0,0.947,0.96,0.939,0.973,1.0,0.864,1.0,1.0,1.0,1.0,1.0,0.933,0.933,1.0,0.947,1.0,1.0,1.0,0.947,1.0,1.0,0.933,1.0,1.0,1.0,1.0,1.0
