0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
0.0,1.0,0.5,0.7718,0.667,0.7,1.0,1.0,0.6626,0.6824,1.0,0.667,0.6816,0.667,0.7,1.0,0.667,1.0,0.6,0.667,0.5847,1.0,0.7,0.7183,0.667,0.694,0.6774,0.709,1.0,0.667,0.6692,0.679,1.0,1.0,0.667,1.0,0.667,0.7862,1.0,0.7121,0.711,1.0,0.5883,0.6428,1.0,0.7,0.6225,1.0,0.6225,0.7,0.7121,0.6428,0.7,0.667,1.0,1.0,0.7,1.0,1.0,0.667,0.679,0.6816,0.612,1.0,0.7,1.0,1.0,0.6774,1.0,1.0,1.0,0.7,1.0,0.7121,0.667,0.679,1.0,1.0,1.0,0.667,0.679,0.679,1.0,0.694,1.0,1.0,0.6816,0.6196,1.0,0.711,1.0,1.0,1.0,1.0,0.667,1.0,0.5906,0.694,0.5815,0.7629,1.0,0.7183,1.0,1.0,1.0,1.0,1.0,0.667,0.667,1.0,0.667,0.667,0.667,1.0,0.667,0.7,1.0,0.667,0.667,1.0,0.679,0.7,1.0
1.0,0.0,1.0,0.6853,0.639,1.0,0.679,0.679,0.659,1.0,1.0,0.679,1.0,1.0,1.0,0.679,0.679,0.679,0.679,0.679,1.0,1.0,1.0,0.667,0.639,0.618,0.639,0.622,0.639,0.639,1.0,0.4905,0.679,0.679,1.0,0.679,0.679,0.5575,0.679,0.622,1.0,0.639,1.0,0.679,1.0,1.0,0.679,1.0,1.0,0.762,0.667,1.0,1.0,1.0,0.6548,1.0,1.0,0.679,0.7121,1.0,1.0,1.0,1.0,0.639,0.762,1.0,1.0,0.639,0.679,1.0,0.762,1.0,0.8078,1.0,1.0,0.6647,1.0,0.679,1.0,1.0,0.622,0.667,0.72,0.618,1.0,1.0,1.0,0.7566,0.679,0.621,0.618,0.6763,1.0,1.0,1.0,0.668,0.749,1.0,0.68,0.628,1.0,0.658,0.639,1.0,0.674,1.0,0.762,1.0,1.0,1.0,0.639,0.639,0.639,0.622,0.639,1.0,0.679,1.0,0.679,0.6617,0.622,0.762,0.679
0.5,1.0,0.0,0.835,0.733,0.667,1.0,1.0,0.7205,0.733,1.0,0.7,0.733,0.733,0.667,1.0,0.7,1.0,0.7,0.7,0.7239,1.0,1.0,0.762,0.733,0.786,0.7205,0.801,1.0,0.733,0.8077,0.762,1.0,1.0,0.7,1.0,0.7,0.894,1.0,0.8045,1.0,1.0,0.667,0.7,1.0,0.667,0.7,1.0,0.5471,0.667,0.8045,0.5966,0.667,0.7,1.0,1.0,0.667,1.0,1.0,0.733,0.762,0.7352,0.6064,1.0,0.667,1.0,1.0,0.7205,1.0,1.0,1.0,0.667,1.0,0.762,0.733,0.762,1.0,1.0,1.0,0.7,0.762,0.762,1.0,0.786,1.0,1.0,0.733,0.64,1.0,0.806,1.0,1.0,1.0,1.0,0.733,1.0,0.616,1.0,0.621,0.8712,1.0,0.762,1.0,1.0,1.0,1.0,1.0,0.7,0.7,1.0,1.0,0.733,0.733,1.0,0.733,0.667,1.0,0.7,0.7,1.0,0.762,0.667,1.0
0.7718,0.6853,0.835,0.0,0.7342,0.8951,0.742,0.742,0.7509,0.7346,0.835,0.7869,0.5715,0.7148,0.6415,0.5995,0.742,1.0,0.7718,0.742,0.7532,0.742,0.8754,0.6674,0.679,0.611,0.679,0.6575,0.679,0.679,0.667,0.7178,0.742,0.8032,0.789,0.7935,0.742,0.607,0.817,0.6634,0.6342,0.679,0.8754,0.7708,1.0,0.835,0.7708,1.0,0.7869,0.835,0.6661,0.742,0.9037,0.7869,0.6599,1.0,0.835,0.742,0.5995,0.7249,0.6732,0.7151,0.623,0.7249,0.835,0.7609,0.611,0.679,0.742,0.7249,0.835,0.835,0.931,0.6755,0.721,0.6634,0.679,1.0,1.0,1.0,0.6857,0.6662,0.617,0.611,1.0,1.0,0.7039,0.7824,0.742,0.6323,0.6388,0.5715,0.679,0.6576,0.7025,0.7148,0.667,0.6274,0.6401,0.6041,1.0,0.6601,0.679,1.0,0.679,1.0,1.0,0.742,0.742,1.0,0.5715,1.0,0.5715,0.638,0.679,1.0,1.0,0.742,0.778,0.742,1.0,0.835,1.0
0.667,0.639,0.733,0.7342,0.0,0.7,1.0,1.0,0.6699,0.643,1.0,0.667,1.0,0.643,1.0,1.0,0.667,1.0,0.667,0.667,0.6721,0.667,0.733,0.674,0.643,0.644,0.643,0.639,1.0,0.643,0.674,0.6705,1.0,0.667,0.667,0.667,0.667,0.7372,1.0,0.6557,0.655,0.643,0.733,0.667,1.0,1.0,0.667,1.0,0.667,0.733,0.652,0.667,0.7299,0.667,1.0,1.0,1.0,1.0,1.0,0.643,0.639,0.643,0.5825,0.643,0.733,0.643,0.644,0.643,0.667,0.643,0.733,1.0,0.733,0.639,0.643,0.65,0.643,1.0,1.0,1.0,0.6497,0.639,0.5715,0.644,1.0,1.0,0.643,0.6135,0.667,0.655,1.0,1.0,1.0,1.0,0.643,0.6719,0.627,1.0,0.596,0.7038,1.0,0.639,0.643,1.0,0.643,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.639,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7,1.0,0.667,0.8951,0.7,0.0,1.0,1.0,0.5835,0.733,1.0,1.0,1.0,0.733,1.0,1.0,0.7,1.0,0.7,0.7,0.7239,0.7,0.667,0.762,0.733,0.786,0.733,0.762,1.0,0.733,0.8077,0.762,1.0,0.7,0.5,0.7,0.7,0.8929,1.0,0.81,0.806,0.733,0.667,0.7,1.0,1.0,1.0,1.0,0.5,1.0,0.8045,0.7,0.167,0.7,1.0,1.0,1.0,1.0,1.0,0.733,0.762,0.733,0.5875,0.733,0.667,0.733,0.786,0.733,0.7,0.733,0.667,1.0,1.0,0.762,0.733,0.8045,0.733,1.0,1.0,1.0,0.81,1.0,0.575,0.786,1.0,1.0,0.733,0.619,0.7,0.806,1.0,1.0,1.0,1.0,0.733,0.733,0.6529,1.0,0.7039,0.8858,1.0,1.0,0.733,1.0,0.733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.679,1.0,0.742,1.0,1.0,0.0,0.6,1.0,0.667,0.7,1.0,0.667,1.0,1.0,0.667,1.0,0.6,0.667,1.0,1.0,1.0,1.0,1.0,0.667,1.0,1.0,0.679,0.5601,0.667,1.0,0.679,0.222,1.0,1.0,1.0,1.0,0.742,1.0,0.679,0.7704,0.667,1.0,0.667,1.0,1.0,1.0,0.7,1.0,1.0,1.0,0.667,1.0,0.667,0.7176,0.833,0.7,0.6225,0.667,0.667,0.679,1.0,0.733,0.667,1.0,0.667,0.694,1.0,0.667,0.667,0.7,1.0,1.0,1.0,0.667,1.0,0.667,1.0,1.0,1.0,1.0,1.0,0.683,0.7308,1.0,1.0,1.0,1.0,1.0,1.0,0.7289,0.667,0.6774,0.679,1.0,0.667,1.0,1.0,0.7747,0.727,1.0,1.0,1.0,0.833,0.667,1.0,1.0,0.6,0.6,1.0,0.667,1.0,1.0,1.0,0.667,1.0,0.667,0.667,1.0,0.667,1.0,1.0,0.667
1.0,0.679,1.0,0.742,1.0,1.0,0.6,0.0,1.0,0.667,0.7,1.0,0.667,1.0,1.0,0.6333,0.667,0.667,1.0,0.667,1.0,1.0,1.0,0.679,1.0,0.694,0.667,0.7121,0.6816,0.6824,1.0,0.679,0.641,1.0,1.0,1.0,0.667,0.742,1.0,0.679,0.7704,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,0.679,0.667,1.0,0.667,0.7121,0.833,0.7,0.222,0.667,0.667,0.679,1.0,0.733,0.4,0.7,0.667,0.694,0.667,1.0,0.667,1.0,1.0,1.0,1.0,0.667,0.679,0.667,0.667,1.0,1.0,1.0,0.679,0.6146,0.694,1.0,1.0,1.0,0.5955,1.0,1.0,0.694,1.0,0.6774,0.679,1.0,1.0,0.72,1.0,0.7738,0.774,1.0,0.679,0.667,0.833,0.667,1.0,0.7,0.6,0.6,1.0,1.0,0.667,0.667,0.679,0.4,1.0,0.6428,0.667,1.0,0.667,0.679,1.0,0.667
0.6626,0.659,0.7205,0.7509,0.6699,0.5835,1.0,1.0,0.0,0.655,1.0,0.633,0.6672,0.667,0.717,1.0,0.667,1.0,0.667,0.667,0.6706,0.5595,0.58,0.6905,0.5535,0.6915,0.6721,0.6788,1.0,0.655,0.696,0.6791,1.0,0.5595,0.5595,0.667,0.667,0.785,1.0,0.6833,0.683,1.0,0.717,0.667,0.5535,0.717,0.5097,0.5835,0.679,0.6617,0.6833,0.6707,0.5835,0.5595,1.0,1.0,0.717,1.0,1.0,0.5535,0.659,0.6678,0.6246,1.0,0.5835,1.0,1.0,0.6497,0.5595,0.5535,1.0,0.717,0.717,0.696,0.655,0.679,1.0,1.0,1.0,0.667,0.6735,0.6963,1.0,0.561,1.0,1.0,0.655,0.6501,1.0,0.683,1.0,1.0,1.0,1.0,0.5535,0.6715,0.6071,0.5645,0.5585,0.7205,0.5835,0.6733,1.0,1.0,1.0,1.0,1.0,0.667,0.667,0.5835,0.5555,0.655,0.655,1.0,0.655,0.717,1.0,0.667,0.667,1.0,0.679,0.717,1.0
0.6824,1.0,0.733,0.7346,0.643,0.733,0.667,0.667,0.655,0.0,0.733,1.0,0.643,1.0,1.0,1.0,1.0,1.0,0.6824,1.0,0.667,1.0,0.733,0.668,0.643,1.0,0.643,0.639,0.643,1.0,0.674,0.639,0.667,1.0,0.667,1.0,1.0,0.577,0.667,0.639,0.7068,1.0,0.7,0.6774,1.0,1.0,0.667,1.0,0.667,1.0,0.639,0.667,0.733,0.6798,0.639,1.0,0.733,0.667,1.0,0.6702,1.0,0.643,0.5825,0.643,0.733,0.643,1.0,0.643,1.0,0.643,1.0,1.0,1.0,0.639,0.643,0.639,1.0,1.0,1.0,1.0,0.639,1.0,1.0,0.644,1.0,0.733,0.6719,0.586,0.667,1.0,0.644,1.0,0.643,0.639,0.643,1.0,0.6049,0.644,0.6815,0.667,1.0,0.6784,1.0,1.0,1.0,1.0,1.0,0.667,0.667,1.0,0.643,1.0,1.0,1.0,0.643,1.0,1.0,0.667,1.0,1.0,1.0,1.0,1.0
