0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
0.0,0.905,0.2523,0.5723,0.464,0.4472,0.9257,0.9257,0.6412,0.6506,0.9311,0.5251,0.349,0.5404,0.5109,0.9513,0.5404,0.9257,0.3063,0.5353,0.4295,0.9513,0.4472,0.3532,0.5401,0.5666,0.4361,0.6479,0.916,0.5422,0.6485,0.5377,0.9257,0.9513,0.4519,0.9513,0.5404,0.6247,0.9257,0.6648,0.5197,0.916,0.6124,0.6384,0.9354,0.5109,0.3748,0.9487,0.3748,0.5109,0.6636,0.6197,0.0,0.0,0.905,0.922,0.5109,0.9257,0.9257,0.5401,0.5389,0.6458,0.692,0.916,0.4472,0.916,0.9487,0.4108,0.9513,0.916,0.9311,0.5109,0.9311,0.6871,0.5273,0.5106,0.916,0.9513,0.9311,0.5404,0.4725,0.5581,0.9284,0.5245,0.9257,0.9311,0.4455,0.7007,0.9386,0.5648,0.8944,0.9354,0.916,0.9203,0.4629,0.945,0.7054,0.5446,0.7516,0.6668,0.9311,0.4432,0.916,0.922,0.916,0.922,0.9311,0.5353,0.5353,0.9311,0.5506,0.5536,0.5123,0.905,0.5536,0.5109,0.9257,0.5404,0.5404,0.9257,0.565,0.5109,0.916
0.905,0.0,0.8967,0.4634,0.5229,0.8967,0.5581,0.453,0.547,0.9066,0.8967,0.5408,0.9252,0.9252,0.8967,0.4563,0.453,0.5532,0.5532,0.0,0.9088,0.9203,0.8967,0.3959,0.5689,0.0,0.0,0.4593,0.5689,0.0,0.9295,0.3582,0.5581,0.4563,0.9127,0.5206,0.0,0.7812,0.453,0.5632,0.9061,0.5717,0.8967,0.5408,0.9187,0.8967,0.5422,0.9061,0.905,0.5024,0.3993,0.905,0.9061,0.905,0.6819,0.8729,0.8967,0.0,0.6566,0.9066,0.9247,0.9127,0.8972,0.4563,0.0,0.9066,0.9375,0.0,0.5457,0.9066,0.5329,0.8967,0.294,0.9343,0.937,0.4835,0.9066,0.0,0.8967,0.905,0.5376,0.4382,0.0,0.588,0.905,0.8967,0.9252,0.5594,0.5562,0.5245,0.5785,0.3986,0.9066,0.9143,0.9127,0.6834,0.0,0.9209,0.4347,0.4634,0.8967,0.6826,0.5216,0.8729,0.6703,0.8729,0.4433,0.905,0.905,0.8967,0.5618,0.4563,0.4626,0.0,0.4563,0.8967,0.453,0.905,0.453,0.5089,0.0,0.4433,0.4315
0.2523,0.8967,0.0,0.5142,0.458,0.433,0.9311,0.9311,0.5477,0.5203,0.9487,0.461,0.5446,0.4743,0.4713,0.9659,0.5109,0.9311,0.0,0.4997,0.5591,0.9659,0.9487,0.5064,0.5203,0.5323,0.3564,0.6051,0.9127,0.5054,0.6391,0.5189,0.9311,0.9659,0.4402,0.9659,0.5109,0.5817,0.9311,0.6311,0.8883,0.9127,0.433,0.4971,0.9386,0.4713,0.5109,0.9747,0.2062,0.4713,0.6336,0.556,0.0,0.0,0.8967,0.9576,0.4713,0.9311,0.9311,0.5203,0.4693,0.6049,0.6636,0.9127,0.433,0.9127,0.9503,0.2722,0.9659,0.9127,0.9487,0.4713,0.9487,0.4819,0.4563,0.4944,0.9127,0.9659,0.9487,0.5109,0.4693,0.5329,0.9397,0.5145,0.9311,0.9487,0.0,0.6759,0.9487,0.5418,0.882,0.9386,0.9127,0.916,0.4563,0.9513,0.7241,0.9203,0.7399,0.6379,0.9487,0.5329,0.9127,0.9576,0.9127,0.9576,0.9487,0.4997,0.4997,0.9487,0.9127,0.5269,0.4379,0.8967,0.5269,0.4713,0.9311,0.5109,0.5109,0.9311,0.5401,0.4713,0.9127
0.5723,0.4634,0.5142,0.0,0.4646,0.5405,0.541,0.5712,0.4668,0.5314,0.4672,0.5044,0.7759,0.5165,0.7497,0.7634,0.5245,0.9268,0.5824,0.5727,0.5581,0.5232,0.5457,0.5228,0.5869,0.5865,0.5596,0.6267,0.5426,0.5779,0.5455,0.4465,0.4706,0.5539,0.5706,0.4094,0.5562,0.605,0.4329,0.49,0.5309,0.5609,0.5439,0.5707,0.9349,0.5446,0.6171,0.9257,0.5592,0.5142,0.3789,0.5713,0.3948,0.6897,0.4865,0.9099,0.4672,0.5712,0.7589,0.4293,0.5671,0.6046,0.7622,0.4301,0.5453,0.496,0.5738,0.5596,0.5232,0.4301,0.5161,0.5446,0.3351,0.5186,0.5572,0.49,0.588,0.9338,0.9214,0.9268,0.4748,0.6603,0.7641,0.5848,0.9268,0.9214,0.5142,0.3706,0.5555,0.4674,0.5321,0.7762,0.5899,0.658,0.6004,0.4422,0.6961,0.623,0.5335,0.6683,0.9214,0.463,0.588,0.9099,0.588,0.9099,0.9214,0.5712,0.5712,0.9214,0.774,0.929,0.7789,0.5974,0.5735,0.9214,0.9268,0.541,0.2893,0.0,0.9359,0.0,0.929
0.464,0.5229,0.458,0.4646,0.0,0.0,0.9545,0.9545,0.4509,0.5699,0.9638,0.453,0.9649,0.4709,0.9638,0.9726,0.0,0.9545,0.464,0.5386,0.5453,0.0,0.4714,0.4772,0.5699,0.5379,0.5311,0.5682,0.9429,0.5376,0.5401,0.484,0.9545,0.0,0.0,0.0,0.4736,0.5877,0.9545,0.2802,0.5667,0.4709,0.5206,0.5549,0.9576,0.9638,0.4563,0.9757,0.0,0.0,0.4117,0.5549,0.4207,0.464,0.9311,0.9659,0.9638,0.9545,0.9545,0.5699,0.4645,0.5559,0.7768,0.5639,0.5206,0.5639,0.4796,0.5311,0.0,0.5639,0.0,0.9638,0.4472,0.472,0.0,0.5136,0.5639,0.9726,0.9638,0.9545,0.4622,0.5628,0.7748,0.5636,0.9545,0.9638,0.4717,0.7241,0.4704,0.5295,0.9192,0.9576,0.9429,0.9429,0.5367,0.353,0.7408,0.9439,0.7052,0.6524,0.9638,0.0,0.5639,0.9659,0.5639,0.9659,0.9638,0.9545,0.9545,0.9638,0.9429,0.9429,0.9649,0.5741,0.9429,0.9638,0.9545,0.9545,0.9545,0.9545,0.9487,0.9638,0.9429
0.4472,0.8967,0.433,0.5405,0.0,0.0,0.9311,0.9311,0.7405,0.5269,0.9487,0.9487,0.9513,0.4472,0.9487,0.9659,0.0,0.9311,0.4472,0.4971,0.478,0.0,0.433,0.531,0.5269,0.5145,0.5054,0.5299,0.9127,0.5034,0.4925,0.5299,0.9311,0.0,0.0,0.0,0.4472,0.5299,0.9311,0.3114,0.5299,0.4472,0.4713,0.5109,0.9386,0.9487,0.9311,0.9747,0.0,0.9487,0.4801,0.5109,0.25,0.4472,0.8967,0.9576,0.9487,0.9311,0.9311,0.5269,0.4399,0.5193,0.7456,0.5203,0.4713,0.5203,0.4685,0.5054,0.0,0.5203,0.0,0.9487,0.9487,0.453,0.0,0.4872,0.5203,0.9659,0.9487,0.9311,0.5126,0.8967,0.74,0.5408,0.9311,0.9487,0.4626,0.735,0.4402,0.5037,0.882,0.9386,0.9127,0.916,0.5161,0.4472,0.6978,0.9203,0.6607,0.5982,0.9487,0.8967,0.5203,0.9576,0.5203,0.9576,0.9487,0.9311,0.9311,0.9487,0.9127,0.9127,0.9513,0.5303,0.9127,0.9487,0.9311,0.9311,0.9311,0.9311,0.9257,0.9487,0.9127
0.9257,0.5581,0.9311,0.541,0.9545,0.9311,0.0,0.3063,0.9354,0.5422,0.4472,0.9386,0.0,0.945,0.9311,0.0,0.9257,0.3063,0.5353,0.9257,0.9257,0.9513,0.9311,0.9203,0.5514,0.937,0.916,0.5377,0.4925,0.5401,0.9429,0.56,0.333,0.9513,0.9386,0.9513,0.9257,0.4631,0.9257,0.0,0.382,0.5536,0.9311,0.5142,0.9354,0.9311,0.9257,0.0,0.9257,0.9311,0.9279,0.0,0.9487,0.5353,0.3185,0.0,0.4472,0.2847,0.5353,0.3229,0.5229,0.9257,0.0,0.3229,0.9311,0.5194,0.0,0.916,0.5222,0.3229,0.5109,0.9311,0.9311,0.9503,0.4629,0.9203,0.4563,0.9513,0.9311,0.9257,0.9649,0.905,0.4519,0.6633,0.9257,0.9311,0.945,0.9072,0.9386,0.8944,0.6446,0.533,0.4099,0.5579,0.9257,0.5404,0.9284,0.9252,0.5112,0.5477,0.9311,0.905,0.916,0.0,0.5181,0.922,0.9311,0.3063,0.3063,0.9311,0.5422,0.916,0.945,0.905,0.3229,0.9311,0.5142,0.5161,0.9257,0.5404,0.9279,0.9311,0.5536
0.9257,0.453,0.9311,0.5712,0.9545,0.9311,0.3063,0.0,0.9354,0.5514,0.4971,0.9386,0.0,0.945,0.9311,0.5088,0.5161,0.0,0.9257,0.4563,0.9257,0.9513,0.9311,0.4629,0.916,0.4751,0.4563,0.6567,0.6416,0.6506,0.9429,0.458,0.643,0.9513,0.9386,0.9513,0.4563,0.4631,0.9257,0.0,0.4689,0.916,0.9311,0.9257,0.9354,0.9311,0.9257,0.0,0.9257,0.9311,0.4677,0.0,0.9487,0.5404,0.6474,0.0,0.4971,0.333,0.5353,0.3743,0.5229,0.9257,0.0,0.0,0.4472,0.5422,0.0,0.4563,0.9513,0.3743,0.9311,0.9311,0.9311,0.9503,0.5273,0.5286,0.4563,0.4626,0.9311,0.9257,0.9649,0.453,0.6325,0.5643,0.9257,0.9311,0.945,0.7446,0.9386,0.8944,0.5608,0.9354,0.4361,0.5637,0.9257,0.945,0.445,0.9252,0.5466,0.6826,0.9311,0.5422,0.5422,0.0,0.5194,0.922,0.4997,0.3504,0.3504,0.9311,0.916,0.5194,0.5323,0.453,0.0,0.9311,0.6384,0.5353,0.9257,0.5161,0.4677,0.9311,0.4563
0.6412,0.547,0.5477,0.4668,0.4509,0.7405,0.9354,0.9354,0.0,0.5415,0.9413,0.0,0.614,0.0,0.461,0.9576,0.5276,0.9354,0.5041,0.4661,0.5024,0.7404,0.7409,0.5063,0.7558,0.4051,0.6106,0.4535,0.9257,0.4645,0.2384,0.4869,0.9354,0.7618,0.7507,0.4615,0.5276,0.3617,0.9354,0.3292,0.559,0.9257,0.5031,0.5408,0.7561,0.461,0.6692,0.7263,0.5949,0.6225,0.2784,0.3862,0.7263,0.7267,0.9149,0.9354,0.461,0.9354,0.9354,0.7558,0.0,0.3959,0.6143,0.9257,0.7405,0.9257,0.9534,0.5266,0.7618,0.7454,0.9413,0.461,0.5044,0.2415,0.0,0.5211,0.9257,0.9576,0.9413,0.5276,0.4454,0.3845,0.9381,0.7602,0.9354,0.9413,0.4917,0.6422,0.9466,0.5508,0.9044,0.9429,0.9257,0.929,0.7534,0.4566,0.6469,0.7627,0.768,0.497,0.7405,0.6207,0.9257,0.9354,0.9257,0.9354,0.9413,0.4661,0.4661,0.7405,0.7549,0.5525,0.0,0.9149,0.5525,0.461,0.9354,0.5276,0.5276,0.9354,0.61,0.461,0.9257
0.6506,0.9066,0.5203,0.5314,0.5699,0.5269,0.5422,0.5514,0.5415,0.0,0.5034,0.9257,0.4661,0.9354,0.9127,0.9354,0.916,0.916,0.6471,0.916,0.3014,0.9354,0.0,0.6665,0.5661,0.9343,0.5593,0.5706,0.5484,0.9127,0.6107,0.5706,0.5181,0.9354,0.5488,0.9354,0.916,0.7776,0.5194,0.5759,0.4865,0.9127,0.3352,0.4361,0.9279,0.9127,0.0,0.9257,0.5506,0.9127,0.5718,0.5536,0.5182,0.6326,0.5216,0.8944,0.5034,0.5514,0.916,0.382,0.9311,0.5637,0.7441,0.56,0.5269,0.5484,0.9439,0.5593,0.9354,0.56,0.9127,0.9127,0.9127,0.4621,0.5292,0.5666,0.9127,0.9354,0.9127,0.916,0.5838,0.9066,0.9143,0.5805,0.916,0.5054,0.5592,0.7446,0.4629,0.9006,0.5725,0.9279,0.5648,0.5729,0.5657,0.9354,0.7625,0.521,0.5061,0.59,0.9127,0.4711,0.9127,0.8944,0.9127,0.8944,0.9127,0.5514,0.5514,0.9127,0.547,0.9127,0.9354,0.9066,0.56,0.9127,0.916,0.5422,0.916,0.916,0.9252,0.9127,0.9127
