0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
0.0,1.0,0.4496,0.6789,0.8147,0.7583,1.0,1.0,0.625,0.6368,1.0,0.7496,0.6086,0.7908,0.6245,1.0,0.6412,1.0,0.6609,0.6774,0.5794,1.0,0.7583,0.6229,0.6883,0.7489,0.6071,0.6253,1.0,0.6929,0.6258,0.6828,1.0,1.0,0.774,1.0,0.6412,0.7209,1.0,0.6361,0.7353,1.0,0.625,0.6203,1.0,0.6245,0.5383,1.0,0.5383,0.6245,0.6375,0.6044,0.825,0.867,1.0,1.0,0.6245,1.0,1.0,0.6883,0.7866,0.6238,0.6649,1.0,0.7583,1.0,1.0,0.6428,1.0,1.0,1.0,0.6245,1.0,0.6625,0.7555,0.7117,1.0,1.0,1.0,0.6412,0.8442,0.6468,1.0,0.7479,1.0,1.0,0.7527,0.6741,1.0,0.6593,1.0,1.0,1.0,1.0,0.811,1.0,0.6724,0.6984,0.7128,0.641,1.0,0.6257,1.0,1.0,1.0,1.0,1.0,0.6774,0.6774,1.0,0.6617,0.6384,0.7159,1.0,0.6384,0.6245,1.0,0.6412,0.6412,1.0,0.691,0.6245,1.0
1.0,0.0,1.0,0.8128,0.7437,1.0,0.6468,0.7777,0.7038,1.0,1.0,0.6898,1.0,1.0,1.0,0.7888,0.7777,0.6668,0.6668,0.839,1.0,1.0,1.0,0.7805,0.667,0.9,0.847,0.7989,0.667,0.847,1.0,0.5961,0.6468,0.7888,1.0,0.7378,0.839,0.7251,0.7777,0.6873,1.0,0.6522,1.0,0.6898,1.0,1.0,0.6929,1.0,1.0,0.6907,0.7939,1.0,1.0,1.0,0.6471,1.0,1.0,0.839,0.6308,1.0,1.0,1.0,1.0,0.7888,0.81,1.0,1.0,0.847,0.7007,1.0,0.6266,1.0,0.6093,1.0,1.0,0.7384,1.0,0.848,1.0,1.0,0.7832,0.748,0.824,0.6817,1.0,1.0,1.0,0.6628,0.6433,0.7479,0.6643,0.6771,1.0,1.0,1.0,0.6492,0.814,1.0,0.803,0.8128,1.0,0.6585,0.7403,1.0,0.6558,1.0,0.7453,1.0,1.0,1.0,0.6844,0.7888,0.81,0.844,0.7888,1.0,0.7777,1.0,0.7777,0.6084,0.878,0.7453,0.7258
0.4496,1.0,0.0,0.721,0.7943,0.7121,1.0,1.0,0.7054,0.6447,1.0,0.8045,0.6984,0.8507,0.6141,1.0,0.6245,1.0,0.85,0.6839,0.6095,1.0,1.0,0.7008,0.6447,0.7689,0.4884,0.5967,1.0,0.6982,0.6585,0.6416,1.0,1.0,0.7352,1.0,0.6245,0.7508,1.0,0.6128,1.0,1.0,0.7121,0.6772,1.0,0.6141,0.6245,1.0,0.3016,0.6141,0.6163,0.556,0.792,0.85,1.0,1.0,0.6141,1.0,1.0,0.6447,0.8331,0.5931,0.6448,1.0,0.7121,1.0,1.0,0.5226,1.0,1.0,1.0,0.6141,1.0,0.8775,0.7888,0.6705,1.0,1.0,1.0,0.6245,0.8331,0.6266,1.0,0.7218,1.0,1.0,0.883,0.658,1.0,0.6442,1.0,1.0,1.0,1.0,0.7888,1.0,0.6797,1.0,0.7098,0.6246,1.0,0.6266,1.0,1.0,1.0,1.0,1.0,0.6839,0.6839,1.0,1.0,0.6149,0.7278,1.0,0.6149,0.6141,1.0,0.6245,0.6245,1.0,0.6883,0.6141,1.0
0.6789,0.8128,0.721,0.0,0.672,0.6365,0.7925,0.7598,0.7201,0.7164,0.8257,0.6753,0.7191,0.7052,0.7051,0.709,0.7479,1.0,0.6681,0.707,0.6675,0.7445,0.659,0.678,0.7018,0.7363,0.7326,0.6673,0.7967,0.718,0.6051,0.7463,0.8378,0.7525,0.5924,0.7239,0.7248,0.6715,0.7965,0.6706,0.6841,0.7357,0.6553,0.6705,1.0,0.6984,0.6535,1.0,0.6735,0.721,0.6934,0.7041,0.674,0.6582,0.8145,1.0,0.8257,0.7598,0.7077,0.7833,0.6654,0.6225,0.7155,0.7861,0.6999,0.7002,0.766,0.7326,0.7445,0.7861,0.726,0.6984,0.7904,0.6876,0.7605,0.6706,0.7039,1.0,1.0,1.0,0.7002,0.6362,0.716,0.7326,1.0,1.0,0.7386,0.8304,0.7232,0.8267,0.7325,0.7239,0.7436,0.683,0.6782,0.7416,0.6559,0.6882,0.6795,0.642,1.0,0.7647,0.7039,1.0,0.7039,1.0,1.0,0.7598,0.7598,1.0,0.7272,1.0,0.7245,0.6992,0.7652,1.0,1.0,0.7925,0.8496,0.894,1.0,0.882,1.0
0.8147,0.7437,0.7943,0.672,0.0,0.625,1.0,1.0,0.7263,0.7012,1.0,0.7777,1.0,0.8387,1.0,1.0,0.917,1.0,0.8147,0.7858,0.7152,0.893,0.8405,0.6584,0.7012,0.7841,0.7656,0.6975,1.0,0.7832,0.7189,0.6264,1.0,0.893,0.739,0.75,0.8479,0.6709,1.0,0.5021,0.6946,0.8387,0.7378,0.7217,1.0,1.0,0.7888,1.0,0.75,0.817,0.5353,0.7217,0.6733,0.8147,1.0,1.0,1.0,1.0,1.0,0.7012,0.8165,0.724,0.713,0.7427,0.7378,0.7427,0.8692,0.7656,0.893,0.7427,0.917,1.0,0.7583,0.8424,0.938,0.5515,0.7427,1.0,1.0,1.0,0.6487,0.6866,0.7039,0.7419,1.0,1.0,0.8415,0.6727,0.8368,0.7614,1.0,1.0,1.0,1.0,0.7807,0.726,0.6813,1.0,0.6621,0.6309,1.0,0.84,0.7427,1.0,0.7427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7583,1.0,0.7121,0.6365,0.625,0.0,1.0,1.0,0.6916,0.6149,1.0,1.0,1.0,0.7583,1.0,1.0,0.85,1.0,0.7583,0.6772,0.5677,0.8,0.7121,0.668,0.6149,0.7218,0.6982,0.6208,1.0,0.6932,0.61,0.6208,1.0,0.8,0.472,0.8,0.7583,0.6797,1.0,0.4863,0.6208,0.7583,0.6141,0.6245,1.0,1.0,1.0,1.0,0.5,1.0,0.5255,0.6245,0.25,0.7583,1.0,1.0,1.0,1.0,1.0,0.6149,0.7343,0.6424,0.7039,0.6447,0.6141,0.6447,0.8304,0.6982,0.8,0.6447,0.833,1.0,1.0,0.7777,0.9,0.5379,0.6447,1.0,1.0,1.0,0.6548,1.0,0.6914,0.6898,1.0,1.0,0.81,0.6897,0.7352,0.694,1.0,1.0,1.0,1.0,0.726,0.7583,0.6593,1.0,0.6394,0.588,1.0,1.0,0.6447,1.0,0.6447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.6468,1.0,0.7925,1.0,1.0,0.0,0.6609,1.0,0.6929,0.7583,1.0,0.893,1.0,1.0,0.833,1.0,0.6609,0.6774,1.0,1.0,1.0,1.0,1.0,0.6632,1.0,1.0,0.6828,0.4925,0.6883,1.0,0.6807,0.333,1.0,1.0,1.0,1.0,0.8119,1.0,0.875,0.727,0.6384,1.0,0.721,1.0,1.0,1.0,0.825,1.0,1.0,1.0,0.867,1.0,0.6774,0.7144,0.75,0.7583,0.5713,0.6774,0.7339,0.7437,1.0,0.837,0.7339,1.0,0.7344,0.84,1.0,0.742,0.7339,0.6245,1.0,1.0,1.0,0.811,1.0,0.7888,1.0,1.0,1.0,1.0,1.0,0.774,0.6369,1.0,1.0,1.0,1.0,1.0,1.0,0.6281,0.7706,0.64,0.6763,1.0,0.7908,1.0,1.0,0.6253,0.7054,1.0,1.0,1.0,0.75,0.7311,1.0,1.0,0.6609,0.6609,1.0,0.6929,1.0,1.0,1.0,0.7339,1.0,0.721,0.726,1.0,0.6412,1.0,1.0,0.6384
1.0,0.7777,1.0,0.7598,1.0,1.0,0.6609,0.0,1.0,0.6632,0.6772,1.0,0.893,1.0,1.0,0.646,0.726,0.867,1.0,0.7888,1.0,1.0,1.0,0.811,1.0,0.8535,0.7888,0.6321,0.6203,0.6368,1.0,0.7943,0.6378,1.0,1.0,1.0,0.7888,0.8119,1.0,0.875,0.6967,1.0,1.0,1.0,1.0,1.0,1.0,0.825,1.0,1.0,0.8276,0.867,1.0,0.6412,0.6243,0.75,0.6772,0.333,0.6774,0.6984,0.7437,1.0,0.837,0.4,0.7583,0.6929,0.84,0.7888,1.0,0.6984,1.0,1.0,1.0,1.0,0.7555,0.7588,0.7888,0.81,1.0,1.0,1.0,0.7777,0.65,0.6895,1.0,1.0,1.0,0.711,1.0,1.0,0.6328,1.0,0.6071,0.6572,1.0,1.0,0.7509,1.0,0.688,0.6525,1.0,0.6929,0.6929,0.75,0.7344,1.0,0.6839,0.6133,0.6133,1.0,1.0,0.7344,0.7689,0.7777,0.4,1.0,0.6203,0.6774,1.0,0.726,0.8276,1.0,0.7888
0.625,0.7038,0.7054,0.7201,0.7263,0.6916,1.0,1.0,0.0,0.7086,1.0,0.725,0.6897,0.877,0.8045,1.0,0.7563,1.0,0.7143,0.822,0.7598,0.6811,0.6917,0.6031,0.7138,0.8168,0.6531,0.7346,1.0,0.8165,0.814,0.652,1.0,0.6992,0.6952,0.8063,0.7563,0.8568,1.0,0.6323,0.6864,1.0,0.6924,0.6898,0.6971,0.8045,0.6412,0.6738,0.6687,0.6375,0.6454,0.7432,0.6738,0.674,1.0,1.0,0.8045,1.0,1.0,0.7138,0.928,0.7805,0.6712,1.0,0.6916,1.0,1.0,0.6327,0.6992,0.6933,1.0,0.8045,0.6957,0.8347,0.894,0.6541,1.0,1.0,1.0,0.7563,0.7303,0.631,1.0,0.7081,1.0,1.0,0.7685,0.6288,1.0,0.7123,1.0,1.0,1.0,1.0,0.6962,0.7038,0.6685,0.7156,0.7219,0.7028,0.6916,0.6325,1.0,1.0,1.0,1.0,1.0,0.822,0.822,0.6916,0.7188,0.7162,0.853,1.0,0.7162,0.8045,1.0,0.7563,0.7563,1.0,0.6948,0.8045,1.0
0.6368,1.0,0.6447,0.7164,0.7012,0.6149,0.6929,0.6632,0.7086,0.0,0.6932,1.0,0.822,1.0,1.0,1.0,1.0,1.0,0.6248,1.0,0.7899,1.0,0.833,0.6374,0.6422,1.0,0.6793,0.6502,0.7069,1.0,0.6284,0.6502,0.7311,1.0,0.6581,1.0,1.0,0.7242,0.7344,0.6596,0.7472,1.0,0.5618,0.6071,1.0,1.0,0.857,1.0,0.6617,1.0,0.6726,0.6384,0.6401,0.6159,0.7403,1.0,0.6932,0.6632,1.0,0.5726,1.0,0.6572,0.7162,0.6807,0.6149,0.7069,1.0,0.6793,1.0,0.6807,1.0,1.0,1.0,0.8082,0.7605,0.6628,1.0,1.0,1.0,1.0,0.7304,1.0,1.0,0.6893,1.0,0.6982,0.6735,0.711,0.811,1.0,0.6536,1.0,0.6593,0.6747,0.6924,1.0,0.7316,0.7386,0.6907,0.6604,1.0,0.7029,1.0,1.0,1.0,1.0,1.0,0.6632,0.6632,1.0,0.7038,1.0,1.0,1.0,0.6807,1.0,1.0,0.6929,1.0,1.0,1.0,1.0,1.0
