"Coefficients","Names"
0.00408471869026791,"age"
0,"Gender.Male"
0,"DISC_union.1"
0,"DISC_union.2"
0,"DISC_intersection.1"
0,"DISC_intersection.2"
0,"DISC_intersection.3"
0,"DISC_intersection.4"
0,"DISC_intersection.5"
0,"DISC_intersection.6"
0,"DISC_intersection.7"
0,"DISC_intersection.8"
0,"DISC_intersection.9"
0,"DISC_intersection.10"
0,"DISC_intersection.11"
0,"DISC_intersection.12"
0,"CASet_intersection.1"
0,"CASet_intersection.2"
0,"CASet_intersection.3"
0,"CASet_union.1"
0,"CASet_union.2"
0.0346507635439451,"BD.1"
-0.00636562196885149,"BD.2"
0.424939351452476,"X1BD.1"
-0.387837699478695,"X1BD.2"
0,"X2BD.1"
0,"X2BD.2"
-0.167171726593307,"AD.1"
-0.20529940991679,"AD.2"
0,"CD.1"
0,"CD.2"
0,"PD.1"
0,"PD.2"
0,"PD.3"
0,"PD.4"
0,"PD.5"
0,"PD.6"
0,"PD.7"
0,"PCD.1"
0,"PCD.2"
0,"MLTD.1"
0,"MLTD.2"
0,"MP3_union.1"
0,"MP3_union.2"
0,"MP3_sigmoid.1"
0,"MP3_sigmoid.2"
0,"MP3_intersection.1"
0,"MP3_intersection.2"
0,"MP3_geometric.1"
0,"MP3_geometric.2"
