,Number of Clusters,WSS,AIC,AIC-corrected,LR,pvalue,LR-corrected,pvalue-corrected
Only Clinical,,,389.8,,1.8,0.1797124948789998,,
DISC_union,3.0,0.05,393.4,3.599999999999966,2.0,0.3678794411714423,0.1999999999999999,0.904837418
DISC_intersection,16.0,0.68,386.3,-3.5,17.5,0.2898628517140242,15.7,0.4022651356
CASet_intersection,7.0,0.1,385.9,-3.900000000000034,9.7,0.1378675141138023,7.899999999999999,0.245521516
CASet_union,3.0,0.03,393.5,3.6999999999999886,1.9,0.3867410234545012,0.0999999999999998,0.9512294245
BD,4.0,0.12,394.4,4.599999999999966,2.5,0.4752910833430205,0.7,0.8732039491
1BD,3.0,0.09,380.4,-9.400000000000034,8.5,0.0142642339089992,6.7,0.0350843541
2BD,3.0,0.07,393.0,3.1999999999999886,2.2,0.3328710836980795,0.4000000000000001,0.8187307531
AD,3.0,0.05,385.8,-4.0,5.8,0.0550232200564072,4.0,0.1353352832
CD,8.0,0.13,390.2,0.3999999999999772,8.6,0.2826636410752305,6.8,0.4499968116
PD,9.0,0.39,398.9,9.099999999999966,5.2,0.7360016443852393,3.4000000000000004,0.9068105661
PCD,7.0,0.12,383.9,-5.900000000000034,10.7,0.0981027348365903,8.899999999999999,0.1792806012
MLTD,3.0,0.08,391.4,1.599999999999966,3.0,0.2231301601484298,1.2,0.5488116361
MP3_sigmoid,3.0,0.03,390.9,1.099999999999966,3.2,0.2018965179946554,1.4,0.4965853038
MP3_intersection,11.0,0.24,401.8,12.0,5.8,0.8317770763194491,4.0,0.9473469827
MP3_geometric,3.0,0.03,390.1,0.3000000000000113,3.6,0.1652988882215865,1.8,0.4065696597
MP3_union,6.0,,,,,,,
