,DISC_union,DISC_intersection,CASet_intersection,CASet_union,BD,1BD,2BD,AD,CD,PD,PCD,MLTD,MP3_union,Optimal Combination,MP3_intersection
DISC_union,,,,,,,,,,,,,,,
DISC_intersection,0.01,,,,,,,,,,,,,,
CASet_intersection,0.01,0.01,,,,,,,,,,,,,
CASet_union,0.01,0.01,0.01,,,,,,,,,,,,
BD,0.01,0.01,0.01,0.01,,,,,,,,,,,
1BD,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,
2BD,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,
AD,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,
CD,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,
PD,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,
PCD,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,
MLTD,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
MP3_union,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,
Optimal Combination,0.258,0.154,0.294,0.191,0.244,0.452,0.28,0.359,0.266,0.139,0.267,0.303,0.298,,
MP3_intersection,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
