,Number of Clusters,WSS,AIC,AIC-corrected,LR,pvalue,LR-corrected,pvalue-corrected,C-Index,C-Index - corrected
Only Clinical,,,389.8,,1.8,0.1797124948789998,,,0.663,0.0
DISC_union,3.0,0.05,393.4,3.599999999999966,2.0,0.3678794411714423,0.1999999999999999,0.904837418,0.658,-0.005
DISC_intersection,14.0,0.68,395.4,5.599999999999966,11.0,0.6108176200807088,9.2,0.7576762068,0.463,-0.2
CASet_intersection,4.0,0.13,392.3,2.5,3.5,0.3207621208056397,1.7,0.6369337957,0.637,-0.026
CASet_union,3.0,0.03,393.5,3.6999999999999886,1.9,0.3867410234545012,0.0999999999999998,0.9512294245,0.652,-0.011
BD,3.0,0.1,392.4,2.599999999999966,2.5,0.2865047968601901,0.7,0.7046880897,0.584,-0.079
1BD,3.0,0.09,380.4,-9.400000000000034,8.5,0.0142642339089992,6.7,0.0350843541,0.649,-0.014
2BD,3.0,0.07,393.0,3.1999999999999886,2.2,0.3328710836980795,0.4000000000000001,0.8187307531,0.677,0.014
AD,3.0,0.05,385.8,-4.0,5.8,0.0550232200564072,4.0,0.1353352832,0.607,-0.056
CD,3.0,0.06,391.1,1.3000000000000114,3.1,0.2122479738267431,1.3,0.5220457768,0.622,-0.041
PD,8.0,0.4,397.0,7.199999999999989,5.2,0.6355708704507234,3.4000000000000004,0.8457011014,0.546,-0.117
PCD,3.0,0.06,391.3,1.5,3.0,0.2231301601484298,1.2,0.5488116361,0.656,-0.007
MLTD,3.0,0.08,391.4,1.599999999999966,3.0,0.2231301601484298,1.2,0.5488116361,0.628,-0.035
MP3_union,3.0,0.02,391.7,1.8999999999999773,2.8,0.2465969639416064,0.9999999999999998,0.6065306597,0.631,-0.032
MP3_sigmoid,3.0,0.03,390.9,1.099999999999966,3.2,0.2018965179946554,1.4,0.4965853038,0.637,-0.026
MP3_intersection,3.0,0.12,392.7,2.8999999999999773,2.3,0.3166367693790533,0.4999999999999998,0.7788007831,0.662,-0.001
MP3_geometric,3.0,0.03,390.1,0.3000000000000113,3.6,0.1652988882215865,1.8,0.4065696597,0.636,-0.027
CASet_geometric,7.0,0.18,386.7,-3.1000000000000227,9.3,0.1573959197791592,7.500000000000001,0.2770684434,0.531,-0.132
CASet_sigmoid,3.0,0.06,387.4,-2.400000000000034,5.0,0.0820849986238988,3.2,0.201896518,0.567,-0.096
DISC_geometric,14.0,0.62,395.5,5.699999999999989,10.9,0.6191946996308757,9.1,0.7653497209,0.481,-0.182
DISC_sigmoid,3.0,0.08,391.2,1.3999999999999773,3.1,0.2122479738267431,1.3,0.5220457768,0.628,-0.035
Optimal Combination,4.0,0.13,379.7,-10.100000000000025,9.8,0.0203449985152084,8.0,0.0460117057,0.668,0.005
Group Lasso,,,380.62,-9.180000000000007,,,,,0.638,-0.025
Group Lasso New Methods,,,329.7,-60.10000000000002,,,,,0.616,-0.047
